"Trait","Species","Fixed effect","F","d.f.","p"
"Chemical abundance","PHAM","Latitude","15.12","1,11","0.003"
"Chemical abundance","PHAM","Leaf age","29.58","1,115","< 0.001"
"Chemical abundance","PHAM","Lat x Age","2.60","1,115","0.110"
"Chemical richness","PHAM","Latitude","0.01","1,11","0.937"
"Chemical richness","PHAM","Leaf age","0.16","1,115","0.688"
"Chemical richness","PHAM","Lat x Age","1.61","1,115","0.207"
"Chemical diversity","PHAM","Latitude","12.31","1,11","0.005"
"Chemical diversity","PHAM","Leaf age","3.31","1,115","0.071"
"Chemical diversity","PHAM","Lat x Age","5.51","1,115","0.021"
"Leaf toughness","PHAM","Latitude","19.23","1,11","0.001"
"Leaf toughness","PHAM","Leaf age","84.57","1,318","< 0.001"
"Leaf toughness","PHAM","Lat x Age","19.94","1,318","< 0.001"
"% Nitrogen","PHAM","Latitude","0.92","1,11","0.359"
"% Nitrogen","PHAM","Leaf age","24.66","1,369","< 0.001"
"% Nitrogen","PHAM","Lat x Age","19.11","1,369","< 0.001"
"Carbon:Nitrogen","PHAM","Latitude","4.13","1,11","0.067"
"Carbon:Nitrogen","PHAM","Leaf age","73.55","1,369","< 0.001"
"Carbon:Nitrogen","PHAM","Lat x Age","56.08","1,369","< 0.001"
"Chemical abundance","PHRI","Region","21.81","2,6","0.002"
"Chemical abundance","PHRI","Leaf age","126.30","1,82","< 0.001"
"Chemical abundance","PHRI","Reg x Age","14.79","2,82","< 0.001"
"Chemical richness","PHRI","Region","0.09","2,6","0.911"
"Chemical richness","PHRI","Leaf age","10.96","1,82","0.001"
"Chemical richness","PHRI","Reg x Age","15.95","2,82","< 0.001"
"Chemical diversity","PHRI","Region","8.76","2,6","0.017"
"Chemical diversity","PHRI","Leaf age","0.43","1,82","0.512"
"Chemical diversity","PHRI","Reg x Age","1.10","2,82","0.339"
"Leaf toughness","PHRI","Region","12.40","2,6","0.007"
"Leaf toughness","PHRI","Leaf age","239.25","1,208","< 0.001"
"Leaf toughness","PHRI","Reg x Age","17.11","2,208","< 0.001"
"% Nitrogen","PHRI","Region","6.33","2,6","0.033"
"% Nitrogen","PHRI","Leaf age","3.48","1,289","0.063"
"% Nitrogen","PHRI","Reg x Age","38.55","2,289","< 0.001"
"Carbon:Nitrogen","PHRI","Region","26.68","2,6","0.001"
"Carbon:Nitrogen","PHRI","Leaf age","0.55","1,289","0.461"
"Carbon:Nitrogen","PHRI","Reg x Age","44.82","2,289","< 0.001"
