Leaf age,Predictor,Original Rank,Final Rank,Change in Rank,Class,Notes
Mature,3.91_1011.4733m.z,1,1,0,,
,4.02_844.4675m.z,3,2,+1,,
,4.06_849.4213m.z,2,3,-1,,
,latitude,5,4,+1,,
,2.97_743.2017m.z,11,5,+6,,
,7.50_599.4089m.z,7,6,+1,,
,0.83_122.9253m.z,33,7,+26,,
,chemical abundance,29,8,+21,,
,6.71_651.2184m.z,26,9,+17,,
,region: subtropical,31,,,,
,toughness,110,,,,
,C:N,181,,,,
,percent Nitrogen,264,,,,
,chemical diversity,362,,,,
,chemical richness,645,,,,
,region: north temperate,1278,,,,
,region: tropical,1479,,,,
,species,1511,,,,
,region: temperate,1542,,,,
Young,latitude,1,1,0,,
,3.99_1141.5348m.z,24,2,+22,,
,3.86_1120.5269n,3,3,0,,
,3.71_1011.4747m.z,2,4,-2,,
,4.28_810.4375n,4,5,-1,,
,4.09_1149.5928n,23,6,+17,,
,3.69_1034.5474m.z,18,7,+11,,
,7.50_242.2837m.z,118,8,+110,,
,4.16_1171.5483m.z,10,9,+1,,
,4.02_844.4675m.z,17,10,+7,,
,4.14_1166.6746m.z,16,11,+5,,
,3.69_988.4845n,14,12,+2,,
,3.86_1139.5649m.z,6,13,-7,,
,4.16_1194.6190m.z,12,14,-2,,
,4.14_483.3462m.z,38,15,+23,,
,6.46_470.3669m.z,127,16,+111,,
,0.96_162.0228m.z,29,17,+12,,
,3.82_972.4884n,11,18,-7,,
,3.69_1007.0195m.z,8,19,-11,,
,4.05_872.4949m.z,15,20,-5,,
,7.45_780.5679n,123,21,+102,,
,4.06_849.4213m.z,7,22,-15,,
,4.79_276.1584m.z,208,23,+185,,
,4.76_1029.4771m.z,120,24,+96,,
,region: subtropical,95,,,,
,C:N,166,,,,
,chemical abundance,201,,,,
,percent Nitrogen,251,,,,
,region: temperate,411,,,,
,chemical diversity,676,,,,
,chemical richness,860,,,,
,region: tropical,1256,,,,
,species,1386,,,,
,region: north temperate,1510,,,,
