"pos_age","line_age","pos","pop","line","age","lat","region","log.abund","richness","diversity","NMDS1","NMDS2"
"90_mature","Bella_13_mature",90,"Bella",13,"mature",8.79,"tropical",10.0769729910182,816,4.62968097177317,0.255929248139532,0.250635036677963
"90_young","Bella_13_young",90,"Bella",13,"young",8.79,"tropical",10.4387890866789,856,4.45122855390198,0.780781914475854,0.270309467682949
"65_mature","Bella_2_mature",65,"Bella",2,"mature",8.79,"tropical",9.9865334767858,885,4.69992302421269,0.287096573900191,-0.0157561799864975
"65_young","Bella_2_young",65,"Bella",2,"young",8.79,"tropical",10.7189884461599,1083,4.5689280519983,0.644618558774171,-0.099196582987827
"7_mature","Bella_21_mature",7,"Bella",21,"mature",8.79,"tropical",10.2295237033379,880,4.52745810439375,0.393858917271463,-0.144612186001511
"7_young","Bella_21_young",7,"Bella",21,"young",8.79,"tropical",11.001483090689,1181,4.71737218831542,0.938064022993865,-0.106516293956982
"40_mature","Bella_3_mature",40,"Bella",3,"mature",8.79,"tropical",9.66477637624868,874,4.96437019574879,0.185802369016312,-0.300906364933041
"40_young","Bella_3_young",40,"Bella",3,"young",8.79,"tropical",10.6112605579929,1020,4.3966485587483,0.827307305472723,-0.134910523872763
"33_mature","Bella_4_mature",33,"Bella",4,"mature",8.79,"tropical",9.83299269914272,819,4.45363810040185,0.139164656221015,0.170040121592079
"33_young","Bella_4_young",33,"Bella",4,"young",8.79,"tropical",10.4671772028003,1142,4.40552761197851,1.05131044839437,-0.129930267606162
"157_mature","Caesar_10_mature",157,"Caesar",10,"mature",39.4887,"north temperate",10.0501954645879,803,4.32236735768936,-0.220897212414041,-0.152453554780779
"157_young","Caesar_10_young",157,"Caesar",10,"young",39.4887,"north temperate",11.5777469233195,636,4.59818783668473,-0.397870590830458,0.214240025057119
"61_mature","Caesar_3_mature",61,"Caesar",3,"mature",39.4887,"north temperate",9.7255808651699,969,4.47362199631939,-0.0412828580521478,-0.402453698674673
"61_young","Caesar_3_young",61,"Caesar",3,"young",39.4887,"north temperate",11.4861226956079,768,4.31171673207295,-0.255485095836872,0.0889930833463679
"15_mature","Caesar_5_mature",15,"Caesar",5,"mature",39.4887,"north temperate",11.1819370672137,865,4.15137653887039,0.0217224654140899,0.0140117280886326
"15_young","Caesar_5_young",15,"Caesar",5,"young",39.4887,"north temperate",11.190682706556,903,4.36773314733357,-0.0637505076475325,0.0420819244992757
"31_mature","Caesar_7_mature",31,"Caesar",7,"mature",39.4887,"north temperate",10.4881173741363,706,4.56078929205176,-0.206564915076036,0.276756628037953
"31_young","Caesar_7_young",31,"Caesar",7,"young",39.4887,"north temperate",11.3770177809933,672,4.37053085781459,-0.263165009714137,0.347286310266814
"20_mature","Caesar_9_mature",20,"Caesar",9,"mature",39.4887,"north temperate",10.5844299591975,925,4.36726511151706,-0.0464005968649287,-0.211801580079034
"20_young","Caesar_9_young",20,"Caesar",9,"young",39.4887,"north temperate",11.2278942203067,697,4.56029023173557,-0.314913454432482,0.298147594688208
"35_mature","Center Hill_1_mature",35,"Center Hill",1,"mature",36.06935,"temperate",10.6594516358903,1086,4.12576898467972,-0.0426595877731528,-0.502373150127732
"35_young","Center Hill_1_young",35,"Center Hill",1,"young",36.06935,"temperate",11.6656673370952,882,4.68381475536879,-0.21531708766437,-0.00635770632745322
"106_mature","Center Hill_2_mature",106,"Center Hill",2,"mature",36.06935,"temperate",10.8826581967214,975,4.22778749618288,-0.146693222975206,-0.318692169701103
"106_young","Center Hill_2_young",106,"Center Hill",2,"young",36.06935,"temperate",10.5681367749095,715,4.60002452134521,-0.334254183948676,0.176271707281356
"135_mature","Center Hill_3_mature",135,"Center Hill",3,"mature",36.06935,"temperate",10.2078711259337,1013,4.57735903870616,-0.0697583798328213,-0.171954668043649
"135_young","Center Hill_3_young",135,"Center Hill",3,"young",36.06935,"temperate",11.4410434643462,949,4.64077453694714,-0.206048996051527,-0.0336162117003142
"141_mature","Center Hill_7_mature",141,"Center Hill",7,"mature",36.06935,"temperate",10.6172977757785,1035,4.38037567179022,-0.240124998995874,-0.344171626710696
"141_young","Center Hill_7_young",141,"Center Hill",7,"young",36.06935,"temperate",11.9139757657123,826,4.4491000343066,-0.24253207346641,0.0353637661834897
"63_mature","Center Hill_8_mature",63,"Center Hill",8,"mature",36.06935,"temperate",10.5200931901172,898,4.28273718853517,-0.145547798011344,-0.170612201815946
"63_young","Center Hill_8_young",63,"Center Hill",8,"young",36.06935,"temperate",11.7045348540869,707,4.50822079682857,-0.380500385200531,0.012187817911224
