"pos_age","line_age","pos","pop","line","age","lat","region","tough"
"1_young","Gen Butler_2_young",1,"Gen Butler",2,"young",38.675517,"temperate",90
"2_young","McPhee_8_young",2,"McPhee",8,"young",40.971333,"north temperate",97.5
"3_young","Whitehall_16_young",3,"Whitehall",16,"young",33.895767,"temperate",142.5
"4_young","Dalton_2_young",4,"Dalton",2,"young",34.670883,"temperate",90
"6_young","McPhee_7_young",6,"McPhee",7,"young",40.971333,"north temperate",90
"7_young","Whitehall_16_young",7,"Whitehall",16,"young",33.895767,"temperate",140
"8_young","Caesar_3_young",8,"Caesar",3,"young",39.4887,"north temperate",110
"9_young","OCM_18_young",9,"OCM",18,"young",32.34554,"temperate",115
"10_young","Hwy 27_1_young",10,"Hwy 27",1,"young",26.537067,"subtropical",170
"11_young","Dalton_9_young",11,"Dalton",9,"young",34.670883,"temperate",142.5
"13_young","With_42_young",13,"With",42,"young",28.60387,"subtropical",112.5
"14_young","HV_5_young",14,"HV",5,"young",37.1818,"temperate",165
"15_young","Center Hill_1_young",15,"Center Hill",1,"young",36.06935,"temperate",207.5
"16_young","HV_5_young",16,"HV",5,"young",37.1818,"temperate",100
"18_young","OCM_17_young",18,"OCM",17,"young",32.34554,"temperate",137.5
"19_young","Gen Butler_7_young",19,"Gen Butler",7,"young",38.675517,"temperate",162.5
"20_young","HV_13_young",20,"HV",13,"young",37.1818,"temperate",152.5
"21_young","Whitehall_17_young",21,"Whitehall",17,"young",33.895767,"temperate",120
"22_young","Dalton_2_young",22,"Dalton",2,"young",34.670883,"temperate",147.5
"23_young","MacArthur_21_young",23,"MacArthur",21,"young",27.177583,"subtropical",117.5
"24_young","Gav_6_young",24,"Gav",6,"young",8.72883,"tropical",152.5
"25_young","Caesar_9_young",25,"Caesar",9,"young",39.4887,"north temperate",127.5
"26_young","Gen Butler_3_young",26,"Gen Butler",3,"young",38.675517,"temperate",175
"27_young","KBS_12_young",27,"KBS",12,"young",42.399933,"north temperate",117.5
"28_young","Gav_23_young",28,"Gav",23,"young",8.72883,"tropical",152.5
"29_young","Dalton_8_young",29,"Dalton",8,"young",34.670883,"temperate",117.5
"30_young","TT_25_young",30,"TT",25,"young",30.673889,"temperate",125
"32_young","Gen Butler_9_young",32,"Gen Butler",9,"young",38.675517,"temperate",135
"33_young","McPhee_6_young",33,"McPhee",6,"young",40.971333,"north temperate",105
"37_young","Whitehall_2_young",37,"Whitehall",2,"young",33.895767,"temperate",102.5
"38_young","Bella_21_young",38,"Bella",21,"young",8.79,"tropical",147.5
"39_young","OCM_16_young",39,"OCM",16,"young",32.34554,"temperate",117.5
