"line_age","tough"
"Bella_13_mature",232.5
"Bella_13_young",116.25
"Bella_2_mature",240
"Bella_2_young",138.333333333333
"Bella_21_mature",260.833333333333
"Bella_21_young",122.5
"Bella_3_mature",258.333333333333
"Bella_3_young",133.333333333333
"Bella_4_mature",278.333333333333
"Bella_4_young",164.166666666667
"Caesar_10_mature",265.833333333333
"Caesar_10_young",154.166666666667
"Caesar_3_mature",263.333333333333
"Caesar_3_young",114.166666666667
"Caesar_5_mature",231.666666666667
"Caesar_5_young",128.333333333333
"Caesar_7_mature",266.666666666667
"Caesar_7_young",112.5
"Caesar_9_mature",239.166666666667
"Caesar_9_young",149.166666666667
"Center Hill_1_mature",255
"Center Hill_1_young",160.833333333333
"Center Hill_2_mature",181.25
"Center Hill_2_young",121.25
"Center Hill_3_mature",210
"Center Hill_3_young",115
"Center Hill_7_mature",315.833333333333
"Center Hill_7_young",132.5
"Center Hill_8_mature",256.666666666667
"Center Hill_8_young",114.166666666667
"Dalton_2_mature",204.166666666667
"Dalton_2_young",121.666666666667
"Dalton_4_mature",232.5
"Dalton_4_young",111.666666666667
"Dalton_6_mature",280.833333333333
"Dalton_6_young",112.5
"Dalton_8_mature",225
"Dalton_8_young",120.833333333333
"Dalton_9_mature",220
"Dalton_9_young",128.333333333333
"Gav_1_mature",233.333333333333
"Gav_1_young",135.833333333333
"Gav_11_mature",232.5
"Gav_11_young",152.5
"Gav_2_mature",219.166666666667
"Gav_2_young",125.833333333333
"Gav_23_mature",230
"Gav_23_young",140
"Gav_6_mature",275
"Gav_6_young",141.666666666667
"Gen Butler_1_mature",212.5
"Gen Butler_1_young",117.5
"Gen Butler_2_mature",224.166666666667
"Gen Butler_2_young",109.166666666667
"Gen Butler_3_mature",254.166666666667
"Gen Butler_3_young",130
"Gen Butler_7_mature",201.666666666667
"Gen Butler_7_young",130.833333333333
"Gen Butler_9_mature",228.333333333333
"Gen Butler_9_young",141.666666666667
"HV_10_mature",262.5
"HV_10_young",116.666666666667
"HV_13_mature",253.333333333333
"HV_13_young",120
"HV_3_mature",194.166666666667
"HV_3_young",125.833333333333
"HV_5_mature",255
"HV_5_young",143.333333333333
"HV_7_mature",254.166666666667
"HV_7_young",115
"Hwy 27_1_mature",321.666666666667
"Hwy 27_1_young",135
"Hwy 27_2_mature",285.833333333333
"Hwy 27_2_young",112.5
"Hwy 27_3_mature",280.833333333333
"Hwy 27_3_young",129.166666666667
"Hwy 27_6_mature",290.833333333333
"Hwy 27_6_young",115.833333333333
"Hwy 27_8_mature",337.5
"Hwy 27_8_young",97.5
"Hwy 27_9_mature",377.5
"Hwy 27_9_young",135.833333333333
"KBS_12_mature",246.666666666667
"KBS_12_young",131.666666666667
"KBS_2_mature",195
"KBS_2_young",127.5
"KBS_5_mature",276.666666666667
"KBS_5_young",128.333333333333
"KBS_8_mature",215
"KBS_8_young",137.5
"KBS_9_mature",246.666666666667
"KBS_9_young",122.5
"MacArthur_15_mature",265.833333333333
"MacArthur_15_young",117.5
"MacArthur_16_mature",272.5
"MacArthur_16_young",114.166666666667
"MacArthur_21_mature",305.833333333333
"MacArthur_21_young",118.333333333333
"MacArthur_22_mature",210.833333333333
"MacArthur_22_young",119.166666666667
"MacArthur_5_mature",337.5
"MacArthur_5_young",120
"McPhee_1_mature",223.333333333333
"McPhee_1_young",119.166666666667
"McPhee_2_mature",220.833333333333
"McPhee_2_young",107.5
"McPhee_6_mature",257.5
"McPhee_6_young",105.833333333333
"McPhee_7_mature",214.166666666667
"McPhee_7_young",106.666666666667
"McPhee_8_mature",312.5
"McPhee_8_young",133.333333333333
"OCM_10_mature",235
"OCM_10_young",138.333333333333
"OCM_16_mature",225
"OCM_16_young",107.5
"OCM_17_mature",256.666666666667
"OCM_17_young",132.5
"OCM_18_mature",221.666666666667
"OCM_18_young",118.333333333333
"OCM_5_mature",239.166666666667
"OCM_5_young",140
"Tiri_1_mature",237.5
"Tiri_1_young",154.166666666667
"Tiri_12_mature",259.166666666667
"Tiri_12_young",161.666666666667
"Tiri_2_mature",295
"Tiri_2_young",118.333333333333
"Tiri_5_mature",230
"Tiri_5_young",123.75
"TT_10_mature",226.666666666667
"TT_10_young",117.5
"TT_25_mature",272.5
"TT_25_young",142.5
"TT_5_mature",214.166666666667
"TT_5_young",120.833333333333
"TT_7_mature",250.833333333333
"TT_7_young",124.166666666667
"TT_9_mature",256.666666666667
"TT_9_young",117.5
"Whitehall_16_mature",268.333333333333
"Whitehall_16_young",156.666666666667
"Whitehall_17_mature",202.5
"Whitehall_17_young",121.666666666667
"Whitehall_18_mature",243.333333333333
"Whitehall_18_young",115
"Whitehall_2_mature",197.5
"Whitehall_2_young",116.666666666667
"Whitehall_3_mature",250.833333333333
"Whitehall_3_young",120.833333333333
"With_42_mature",272.5
"With_42_young",114.166666666667
"With_43_mature",294.166666666667
"With_43_young",136.666666666667
"With_46_mature",310
"With_46_young",131.666666666667
"With_47_mature",290
"With_47_young",129.166666666667
"With_48_mature",270.833333333333
"With_48_young",136.666666666667
