"pos_age","line_age","pos","pop","line","age","lat","region","percent_N","percent_C","C_N"
"1_mature","Bella_2_mature",1,"Bella",2,"mature",8.79,"tropical",3.737,36.726,9.827669253
"2_mature","Bella_3_mature",2,"Bella",3,"mature",8.79,"tropical",2.101,26.23,12.48453118
"3_mature","Bella_4_mature",3,"Bella",4,"mature",8.79,"tropical",4.324,38.74,8.959990749
"4_mature","Bella_4_mature",4,"Bella",4,"mature",8.79,"tropical",2.327,35.497,15.25440481
"5_mature","Bella_4_mature",5,"Bella",4,"mature",8.79,"tropical",4.002,35.986,8.992003998
"6_mature","Bella_13_mature",6,"Bella",13,"mature",8.79,"tropical",3.682,36.011,9.780282455
"7_mature","Bella_21_mature",7,"Bella",21,"mature",8.79,"tropical",2.181,31.021,14.22329207
"8_mature","Bella_21_mature",8,"Bella",21,"mature",8.79,"tropical",4.277,39.12,9.146598083
"9_mature","Bella_21_mature",9,"Bella",21,"mature",8.79,"tropical",1.256,34.75,27.66719745
"10_mature","Bella_2_mature",10,"Bella",2,"mature",8.79,"tropical",1.8665,36.3737,19.48765068
"11_mature","Bella_2_mature",11,"Bella",2,"mature",8.79,"tropical",1.467,36.1351,24.63197001
"12_mature","Bella_2_mature",12,"Bella",2,"mature",8.79,"tropical",3.6038,37.4539,10.39289084
"13_mature","Bella_3_mature",13,"Bella",3,"mature",8.79,"tropical",3.2153,39.3108,12.22616863
"14_mature","Bella_3_mature",14,"Bella",3,"mature",8.79,"tropical",2.6479,32.0412,12.10060803
"15_mature","Bella_3_mature",15,"Bella",3,"mature",8.79,"tropical",1.8333,34.3495,18.73643157
"16_mature","Bella_13_mature",16,"Bella",13,"mature",8.79,"tropical",2.4056,37.0736,15.41137346
"17_mature","Bella_13_mature",17,"Bella",13,"mature",8.79,"tropical",1.7759,34.43,19.38735289
"18_mature","Bella_13_mature",18,"Bella",13,"mature",8.79,"tropical",2.0904,33.7442,16.14246077
"19_young","Bella_2_young",19,"Bella",2,"young",8.79,"tropical",3.615,40.414,11.17952974
"20_young","Bella_3_young",20,"Bella",3,"young",8.79,"tropical",3.727,39.77,10.67078079
"21_young","Bella_4_young",21,"Bella",4,"young",8.79,"tropical",4.815,39.739,8.253167186
"22_young","Bella_4_young",22,"Bella",4,"young",8.79,"tropical",3.328,37.456,11.25480769
