"line_age","percent_N","percent_C","C_N"
"Bella_13_mature",2.488475,35.3147,15.18036739375
"Bella_13_young",4.21115,40.93585,9.741220018
"Bella_2_mature",2.668575,36.672175,16.08504519575
"Bella_2_young",3.9615,43.776775,11.65811369675
"Bella_21_mature",2.57133333333333,34.9636666666667,17.0123625343333
"Bella_21_young",3.42466666666667,35.7586666666667,10.3848958853333
"Bella_3_mature",2.449375,32.982875,13.8869348525
"Bella_3_young",3.764625,39.431925,10.67385839375
"Bella_4_mature",3.551,36.741,11.0687998523333
"Bella_4_young",4.335,38.9096666666667,9.21306553166667
"Caesar_10_mature",2.59105,36.637475,14.3280482225
"Caesar_10_young",3.278575,36.417825,11.1627028675
"Caesar_5_mature",1.2906,39.3949,30.814858074
"Caesar_5_young",1.19264,36.95374,31.018120884
"Caesar_7_mature",3.24233333333333,41.0393333333333,17.286278831
"Caesar_7_young",4.32366666666667,36.5966666666667,10.4887457096667
"Caesar_9_mature",1.034325,35.7101,34.5529035425
"Caesar_9_young",1.3359,41.395525,31.1339731225
"Center Hill_1_mature",1.475,45.4873333333333,30.8114970733333
"Center Hill_1_young",1.37966666666667,39.5146666666667,28.7849541433333
"Center Hill_2_mature",1.44066666666667,43.1713333333333,30.1885248866667
"Center Hill_2_young",1.17533333333333,37.9783333333333,32.36128861
"Center Hill_3_mature",1.347,41.3426666666667,30.8463614566667
"Center Hill_3_young",1.329,38.5503333333333,29.19083052
"Center Hill_7_mature",1.35366666666667,37.261,27.4885485933333
"Center Hill_7_young",1.34466666666667,37.7143333333333,28.4552687466667
"Center Hill_8_mature",3.6,43.89,12.532864455
"Center Hill_8_young",3.884,40.891,10.535361915
"Dalton_2_mature",1.607,43.7116666666667,27.2345841433333
"Dalton_2_young",1.19966666666667,38.9886666666667,32.50452123
"Dalton_4_mature",1.48733333333333,44.1036666666667,30.10923694
"Dalton_4_young",1.188,41.441,34.96739515
"Dalton_6_mature",1.15833333333333,37.2773333333333,32.3255068233333
"Dalton_6_young",1.16066666666667,38.635,33.3967351633333
"Dalton_8_mature",1.30866666666667,41.0823333333333,31.93209033
"Dalton_8_young",1.16133333333333,36.3303333333333,31.33481571
"Dalton_9_mature",1.34125,40.71875,30.5102796225
"Dalton_9_young",1.303,38.6683333333333,30.9236236433333
"Gav_1_mature",2.33444,36.34638,17.064176232
"Gav_1_young",4.0083,41.03984,10.4210526328
"Gav_22_mature",2.42333333333333,38.2886666666667,15.9951656033333
"Gav_22_young",3.05533333333333,38.9356666666667,12.8055953033333
"Gav_23_mature",1.72675,39.290825,23.107916645
"Gav_23_young",3.260925,42.70685,13.04724667
"Gav_6_mature",1.55522,34.21474,22.39044989
"Gav_6_young",2.9914,38.07688,13.206111678
"Gen Butler_1_mature",6.50333333333333,48.834,10.662752146
"Gen Butler_1_young",6.27133333333333,36.0996666666667,6.20989286033333
"Gen Butler_2_mature",2.68566666666667,39.0726666666667,22.2090157413333
"Gen Butler_2_young",2.93766666666667,35.2853333333333,16.839495053
"Gen Butler_3_mature",1.27266666666667,38.6586666666667,30.3478483666667
"Gen Butler_3_young",0.947,30.238,32.1805288566667
"Gen Butler_7_mature",2.92733333333333,46.0566666666667,15.5115085766667
"Gen Butler_7_young",3.48566666666667,40.573,11.8019822666667
"Gen Butler_9_mature",1.241,34.8676666666667,28.9663091333333
"Gen Butler_9_young",1.28466666666667,38.0733333333333,30.2642954566667
"HV_10_mature",1.3865,40.24525,29.1059961675
"HV_10_young",1.5555,40.014,26.255232125
"HV_13_mature",1.475,41.6396666666667,28.27531211
"HV_13_young",1.38133333333333,39.62,28.7302189933333
"HV_3_mature",1.563,40.876,26.2723515066667
"HV_3_young",1.567,33.5916666666667,21.4063920333333
"HV_5_mature",1.26633333333333,35.317,28.2082182666667
"HV_5_young",2.23366666666667,32.8703333333333,19.1187855933333
"HV_7_mature",1.227,34.6496666666667,28.4837170133333
"HV_7_young",1.583,39.029,25.28597556
"Hwy 27_1_mature",0.997075,36.645675,37.1863743225
"Hwy 27_1_young",1.702475,38.248425,22.66317672
"Hwy 27_2_mature",1.232,40.4993333333333,33.3614827533333
"Hwy 27_2_young",2.00466666666667,39.498,19.7193036866667
"Hwy 27_3_mature",1.551425,44.3673,29.2297858475
"Hwy 27_3_young",2.150025,41.591875,19.4450180675
"Hwy 27_6_mature",1.228,37.3966666666667,30.7864964366667
"Hwy 27_6_young",2.166,38.3533333333333,18.13001335
"Hwy 27_8_mature",1.12394,36.19672,32.399757092
"Hwy 27_8_young",1.83706,38.7237,21.606674128
"KBS_12_mature",1.23102,37.15874,30.274737884
"KBS_12_young",1.41184,39.16714,28.205741026
"KBS_2_mature",1.2416,32.3219,26.06286428
"KBS_2_young",1.501,40.6949,27.1196099333333
"KBS_5_mature",1.49993333333333,37.6608,25.6230284166667
"KBS_5_young",1.45993333333333,42.3421666666667,29.4534662166667
"KBS_8_mature",1.56666666666667,39.4426666666667,25.43951793
"KBS_8_young",2.16966666666667,37.8073333333333,17.86625281
"KBS_9_mature",1.409,35.9633333333333,25.4350212166667
"KBS_9_young",1.24033333333333,38.397,30.9590172733333
"MacArthur_15_mature",1.777,34.7186666666667,20.1115130466667
"MacArthur_15_young",2.988,39.6866666666667,13.48064799
"MacArthur_16_mature",1.05125,32.65845,32.1068048075
"MacArthur_16_young",2.04685,38.641025,20.46329379
"MacArthur_21_mature",1.01293333333333,35.3620333333333,35.17660825
"MacArthur_21_young",1.9591,42.6226666666667,22.04491744
"MacArthur_22_mature",1.44933333333333,38.511,27.2399708566667
"MacArthur_22_young",2.21733333333333,34.8496666666667,16.1237603066667
"MacArthur_5_mature",1.33545,38.9410833333333,32.69528246
"MacArthur_5_young",1.73381666666667,35.5620833333333,20.997474455
"McPhee_1_mature",1.678,43.8483333333333,26.1681187033333
"McPhee_1_young",1.30466666666667,39.119,30.15270457
"McPhee_2_mature",1.3883,36.3972,26.899160464
"McPhee_2_young",1.67584,38.46628,24.701621674
"McPhee_6_mature",1.53782,40.09688,26.356119414
"McPhee_6_young",1.31572,39.83814,30.293651358
"McPhee_7_mature",1.24533333333333,35.3066666666667,28.3336466733333
"McPhee_7_young",1.231,33.4396666666667,26.9342640866667
"McPhee_8_mature",1.54816,34.05518,22.696287818
"McPhee_8_young",1.84828,38.14438,22.602689862
"OCM_10_mature",1.334,40.2166666666667,30.4770275633333
"OCM_10_young",1.46533333333333,40.974,29.2319874333333
"OCM_16_mature",1.06366666666667,33.404,30.55411556
"OCM_16_young",1.30933333333333,38.7166666666667,29.76925061
"OCM_17_mature",1.31066666666667,39.683,30.4686157233333
"OCM_17_young",1.21766666666667,38.5703333333333,32.4013222733333
"OCM_18_mature",1.30366666666667,41.0776666666667,31.75149818
"OCM_18_young",1.14233333333333,37.1663333333333,33.01704932
"OCM_5_mature",1.671,39.0253333333333,25.5039865966667
"OCM_5_young",2.65,36.0013333333333,16.9548203033333
"Tiri_1_mature",4.31725,37.49125,9.4815525515
"Tiri_1_young",6.191,34.4373333333333,5.58138847566667
"Tiri_12_mature",1.7495,33.47458,19.278381762
"Tiri_12_young",3.42464,38.85736,11.37451488
"Tiri_16_mature",2.11594,36.12674,17.162687062
"Tiri_16_young",3.33944,41.29092,12.6918661742
"Tiri_22_mature",1.75075,34.73655,19.99206519
"Tiri_22_young",3.0954,38.393325,12.833182015
"Tiri_5_mature",1.74,37.5416666666667,21.6345784066667
"Tiri_5_young",2.27333333333333,38.5843333333333,17.0060583166667
"TT_10_mature",0.994,37.1476666666667,37.5141032566667
"TT_10_young",1.01933333333333,37.9353333333333,37.4021328133333
"TT_25_mature",1.21033333333333,43.975,36.6612752933333
"TT_25_young",1.36766666666667,36.5066666666667,26.81826951
"TT_5_mature",1.61133333333333,49.1523333333333,30.42775662
"TT_5_young",1.507,38.3216666666667,25.46034853
"TT_7_mature",1.41733333333333,42.119,29.8643463166667
"TT_7_young",1.07633333333333,30.32,28.0909223366667
"TT_9_mature",1.412,41.6403333333333,29.7570670766667
"TT_9_young",1.22333333333333,37.3746666666667,30.8914033566667
"Whitehall_16_mature",1.38666666666667,41.52,31.7366173533333
"Whitehall_16_young",1.369,35.063,26.37315704
"Whitehall_17_mature",2.21066666666667,38.1146666666667,22.1727716766667
"Whitehall_17_young",1.91566666666667,38.8066666666667,26.20185913
"Whitehall_18_mature",1.83133333333333,38.643,23.0445265633333
"Whitehall_18_young",2.19333333333333,39.1353333333333,21.1740281666667
"Whitehall_2_mature",1.61166666666667,46.1406666666667,28.9348015433333
"Whitehall_2_young",1.492,39.82,27.65990036
"Whitehall_3_mature",1.325,41.251,31.10689956
"Whitehall_3_young",1.626,38.8606666666667,23.9206996133333
"With_42_mature",1.93682,36.62538,23.40570884
"With_42_young",2.72354,37.57024,15.581864971
"With_43_mature",1.244,39.401,31.7156952866667
"With_43_young",1.991,36.755,19.0170244233333
"With_46_mature",2.76833333333333,37.483,17.6321185533333
"With_46_young",2.767,34.399,14.44787794
"With_47_mature",1.67232,44.15346,27.140636276
"With_47_young",2.52566,40.30554,16.093132426
"With_48_mature",1.34385,38.56585,29.041835255
"With_48_young",1.7635,38.62915,22.234391135
