"line_age","cupID","pop","line","age","lat","region","surv","log.area","old.log.area"
"Whitehall_18_mature",1,"Whitehall","Whitehall_18","mature",33.895767,"temperate",5,0.617805820435883,0.163653960521078
"MacArthur_5_mature",2,"MacArthur","MacArthur_5","mature",27.177583,"subtropical",3,0.492462371034798,0.138336281142845
"Gen Butler_3_mature",3,"Gen Butler","Gen Butler_3","mature",38.675517,"temperate",5,0.66139916256789,0.172414861957647
"Center Hill_7_mature",4,"Center Hill","Center Hill_7","mature",36.06935,"temperate",5,0.556323416181575,0.151266100188362
"KBS_9_mature",5,"KBS","KBS_9","mature",42.399933,"north temperate",4,0.580335188283649,0.156109602752044
"OCM_10_mature",6,"OCM","OCM_10","mature",32.34554,"temperate",3,0.580335188283649,0.156109602752044
"Dalton_4_mature",7,"Dalton","Dalton_4","mature",34.670883,"temperate",5,0.575383653815745,0.155111450252971
"KBS_2_mature",8,"KBS","KBS_2","mature",42.399933,"north temperate",5,0.662661850572115,0.172668415883521
"Center Hill_3_mature",9,"Center Hill","Center Hill_3","mature",36.06935,"temperate",3,0.492462371034798,0.138336281142845
"Dalton_8_mature",10,"Dalton","Dalton_8","mature",34.670883,"temperate",5,0.683447706393704,0.176840917629905
"McPhee_8_mature",11,"McPhee","McPhee_8","mature",40.971333,"north temperate",5,0.735717943727224,0.187323899105758
"OCM_17_mature",12,"OCM","OCM_17","mature",32.34554,"temperate",3,0.567567957622287,0.153535271631648
"With_43_mature",13,"With","With_43","mature",28.60387,"subtropical",3,0.355096616689481,0.110059514513857
"Bella_2_mature",14,"Bella","Bella_2","mature",8.79,"tropical",5,0.615994089517553,0.163289518331473
"HV_3_mature",15,"HV","HV_3","mature",37.1818,"temperate",2,0.570227858763699,0.154071782116046
"Whitehall_16_mature",16,"Whitehall","Whitehall_16","mature",33.895767,"temperate",5,0.636173107290974,0.167347028341877
"Bella_3_mature",17,"Bella","Bella_3","mature",8.79,"tropical",5,0.619591667118361,0.164013166230671
"HV_10_mature",18,"HV","HV_10","mature",37.1818,"temperate",4,0.689673265895927,0.178090145017221
"McPhee_7_mature",19,"McPhee","McPhee_7","mature",40.971333,"north temperate",4,0.598385806541204,0.159745816399695
"MacArthur_15_mature",20,"MacArthur","MacArthur_15","mature",27.177583,"subtropical",5,0.559230794363196,0.151852992618629
"TT_7_mature",21,"TT","TT_7","mature",30.673889,"temperate",5,0.587413084367337,0.157535866666727
"KBS_8_mature",22,"KBS","KBS_8","mature",42.399933,"north temperate",5,0.656216858539318,0.171374120293972
"OCM_18_mature",23,"OCM","OCM_18","mature",32.34554,"temperate",5,0.559230794363196,0.151852992618629
"Caesar_7_mature",24,"Caesar","Caesar_7","mature",39.4887,"north temperate",4,0.731443925725355,0.186467158014716
"Gav_23_mature",25,"Gav","Gav_23","mature",8.72883,"tropical",5,0.591918401125005,0.158443420510083
"Hwy 27_6_mature",26,"Hwy 27","Hwy 27_6","mature",26.537067,"subtropical",3,0.403323253092262,0.12009386539504
"HV_5_mature",27,"HV","HV_5","mature",37.1818,"temperate",3,0.690681368387241,0.178292412801591
"TT_25_mature",28,"TT","TT_25","mature",30.673889,"temperate",4,0.559230794363196,0.151852992618629
"With_46_mature",29,"With","With_46","mature",28.60387,"subtropical",3,0.465175893226171,0.132782382195957
"With_42_mature",30,"With","With_42","mature",28.60387,"subtropical",3,0.452341487297313,0.130162075351277
"Bella_21_mature",31,"Bella","Bella_21","mature",8.79,"tropical",3,0.403323253092262,0.12009386539504
"Dalton_9_mature",32,"Dalton","Dalton_9","mature",34.670883,"temperate",3,0.591918401125005,0.158443420510083
"Gav_22_mature",33,"Gav","Gav_22","mature",8.72883,"tropical",3,0.526575426323448,0.145253109589752
"Tiri_12_mature",34,"Tiri","Tiri_12","mature",10.41549,"tropical",4,0.637716412964422,0.167657209096086
"Hwy 27_1_mature",35,"Hwy 27","Hwy 27_1","mature",26.537067,"subtropical",3,0.562072084005125,0.152426422772174
"Whitehall_3_mature",36,"Whitehall","Whitehall_3","mature",33.895767,"temperate",3,0.501902240985099,0.140252986979132
"Gav_1_mature",37,"Gav","Gav_1","mature",8.72883,"tropical",3,0.684507070669752,0.177053505390731
"OCM_5_mature",38,"OCM","OCM_5","mature",32.34554,"temperate",4,0.65753271555448,0.171638395602346
"Bella_13_mature",39,"Bella","Bella_13","mature",8.79,"tropical",5,0.767676358158242,0.19372814464594
"McPhee_6_mature",40,"McPhee","McPhee_6","mature",40.971333,"north temperate",5,0.738488201583136,0.187879171482805
"TT_9_mature",41,"TT","TT_9","mature",30.673889,"temperate",4,0.737801371576933,0.187741505330388
"Gen Butler_7_mature",42,"Gen Butler","Gen Butler_7","mature",38.675517,"temperate",5,0.797880170773792,0.199778159590887
"Gen Butler_1_mature",43,"Gen Butler","Gen Butler_1","mature",38.675517,"temperate",4,0.650810376756387,0.170288163811072
"Hwy 27_2_mature",44,"Hwy 27","Hwy 27_2","mature",26.537067,"subtropical",4,0.628157130014255,0.165735629339528
"Whitehall_17_mature",45,"Whitehall","Whitehall_17","mature",33.895767,"temperate",5,0.663911910979787,0.172919424023815
"Gen Butler_9_mature",46,"Gen Butler","Gen Butler_9","mature",38.675517,"temperate",3,0.684507070669752,0.177053505390731
"MacArthur_22_mature",47,"MacArthur","MacArthur_22","mature",27.177583,"subtropical",5,0.51484661403199,0.142877846615235
"Tiri_16_mature",48,"Tiri","Tiri_16","mature",10.41549,"tropical",3,0.51484661403199,0.142877846615235
"Caesar_10_mature",49,"Caesar","Caesar_10","mature",39.4887,"north temperate",5,0.725507951510766,0.185277159722658
"OCM_16_mature",50,"OCM","OCM_16","mature",32.34554,"temperate",5,0.678011878316266,0.175749986500664
"MacArthur_16_mature",51,"MacArthur","MacArthur_16","mature",27.177583,"subtropical",5,0.575383653815745,0.155111450252971
"HV_13_mature",52,"HV","HV_13","mature",37.1818,"temperate",3,0.698466227004198,0.179854210542075
"Gav_6_mature",53,"Gav","Gav_6","mature",8.72883,"tropical",5,0.587413084367337,0.157535866666727
"KBS_5_mature",54,"KBS","KBS_5","mature",42.399933,"north temperate",3,NA,NA
"KBS_12_mature",55,"KBS","KBS_12","mature",42.399933,"north temperate",5,0.604534990352816,0.160983709357325
"MacArthur_21_mature",56,"MacArthur","MacArthur_21","mature",27.177583,"subtropical",3,0.540676454916478,0.148105266901893
"With_48_mature",57,"With","With_48","mature",28.60387,"subtropical",3,0.537297505622295,0.147422149365344
"Tiri_5_mature",58,"Tiri","Tiri_5","mature",10.41549,"tropical",5,0.582739293421334,0.156594121551312
"Tiri_1_mature",59,"Tiri","Tiri_1","mature",10.41549,"tropical",3,0.572832336628249,0.154597020344272
"Caesar_9_mature",60,"Caesar","Caesar_9","mature",39.4887,"north temperate",1,0.300649760958813,0.0984924742069596
"Hwy 27_8_mature",61,"Hwy 27","Hwy 27_8","mature",26.537067,"subtropical",3,0.487460903958378,0.137319847946172
"Caesar_5_mature",62,"Caesar","Caesar_5","mature",39.4887,"north temperate",4,0.713555874438851,0.182880678056244
"TT_10_mature",63,"TT","TT_10","mature",30.673889,"temperate",3,0.667588790806968,0.173657672453741
"Tiri_22_mature",64,"Tiri","Tiri_22","mature",10.41549,"tropical",4,0.650810376756387,0.170288163811072
"McPhee_2_mature",65,"McPhee","McPhee_2","mature",40.971333,"north temperate",3,0.748361961031203,0.189858060524824
"With_47_mature",66,"With","With_47","mature",28.60387,"subtropical",4,0.604534990352816,0.160983709357325
"Center Hill_2_mature",67,"Center Hill","Center Hill_2","mature",36.06935,"temperate",5,0.606519284958356,0.161383083975298
"Dalton_2_mature",68,"Dalton","Dalton_2","mature",34.670883,"temperate",5,0.675769585305064,0.175299926101796
"Center Hill_8_mature",69,"Center Hill","Center Hill_8","mature",36.06935,"temperate",5,0.730717162594806,0.186321469277695
"Dalton_6_mature",70,"Dalton","Dalton_6","mature",34.670883,"temperate",5,0.674633172527986,0.175071820664943
"TT_5_mature",71,"TT","TT_5","mature",30.673889,"temperate",4,0.689673265895927,0.178090145017221
"Hwy 27_3_mature",72,"Hwy 27","Hwy 27_3","mature",26.537067,"subtropical",4,0.577883937140472,0.155615507713723
"Bella_4_mature",73,"Bella","Bella_4","mature",8.79,"tropical",4,0.623088594232942,0.16471645539925
"Center Hill_1_mature",74,"Center Hill","Center Hill_1","mature",36.06935,"temperate",4,0.649421411860519,0.170009140566921
"Gen Butler_2_mature",75,"Gen Butler","Gen Butler_2","mature",38.675517,"temperate",5,0.789968808160913,0.198193675632584
"Whitehall_2_mature",76,"Whitehall","Whitehall_2","mature",33.895767,"temperate",3,0.518879742174096,0.143694934161264
"HV_7_mature",77,"HV","HV_7","mature",37.1818,"temperate",5,0.810045513053224,0.202214366552928
"McPhee_1_mature",78,"McPhee","McPhee_1","mature",40.971333,"north temperate",3,0.522786798452517,0.14448615946443
