# 1192.096830 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,1000.0,-0.0017365303001178772
10.0,0.1,500.0,-0.001737740483150587
10.0,0.1,100.0,-0.0017430542954042926
5.0,log2,100.0,-0.0017540270973575747
5.0,0.1,500.0,-0.001761324470886055
10.0,sqrt,1000.0,-0.001767095518316256
10.0,log2,500.0,-0.0017716651671550495
10.0,sqrt,500.0,-0.0017765628866684556
5.0,0.1,1000.0,-0.0017769225211423062
10.0,log2,1000.0,-0.001778663125144542
5.0,log2,500.0,-0.0017841721184666949
5.0,sqrt,1000.0,-0.0017864367092826267
5.0,sqrt,500.0,-0.0017873821712500262
10.0,sqrt,100.0,-0.0017886436420832745
5.0,log2,1000.0,-0.001789843290909833
10.0,log2,100.0,-0.0017906950602412848
5.0,sqrt,100.0,-0.0017937703735723914
10.0,0.5,1000.0,-0.0018092600342532212
5.0,0.5,1000.0,-0.0018116191171760128
10.0,0.5,500.0,-0.0018120033263710126
5.0,0.1,100.0,-0.001813128069451333
5.0,0.5,500.0,-0.0018167628062548743
10.0,0.5,100.0,-0.0018356591794313312
5.0,0.5,100.0,-0.0018401446758241802
3.0,0.5,500.0,-0.001892386017717991
3.0,sqrt,500.0,-0.0018929285775945493
3.0,sqrt,1000.0,-0.0018932921195372516
3.0,log2,500.0,-0.0018941175041914775
3.0,log2,1000.0,-0.00189566804492199
3.0,0.5,100.0,-0.0019021292216959505
3.0,0.5,1000.0,-0.001904221932719571
3.0,log2,100.0,-0.0019046058944979945
3.0,0.1,500.0,-0.0019057341383496146
3.0,sqrt,100.0,-0.001912527603150939
3.0,0.1,1000.0,-0.0019187990588293996
3.0,0.1,100.0,-0.0019517541233978167
