# 1199.025035 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,sqrt,100.0,-0.002092444631475028
10.0,log2,1000.0,-0.0020958295561575996
10.0,0.1,1000.0,-0.0020999027061686226
10.0,sqrt,500.0,-0.0021009950423566933
10.0,sqrt,1000.0,-0.002102017044635751
10.0,0.1,500.0,-0.002102136810255989
10.0,log2,100.0,-0.0021030767063636613
5.0,0.1,500.0,-0.002103340903460858
5.0,log2,1000.0,-0.00210859729211584
5.0,sqrt,100.0,-0.0021098677954676332
5.0,log2,500.0,-0.002111921805620149
10.0,log2,500.0,-0.0021154385009151382
10.0,0.1,100.0,-0.002116423246900783
5.0,0.1,1000.0,-0.002118618207684151
5.0,sqrt,1000.0,-0.0021203179324097935
5.0,0.5,500.0,-0.0021206529378878358
5.0,sqrt,500.0,-0.002123623713433554
10.0,0.5,1000.0,-0.002125056307175751
5.0,0.5,1000.0,-0.0021250892532053934
10.0,0.5,500.0,-0.0021287846041377627
5.0,log2,100.0,-0.0021316043896134466
5.0,0.1,100.0,-0.002133307367763431
5.0,0.5,100.0,-0.0021458495906419954
10.0,0.5,100.0,-0.0021484865048740317
3.0,0.1,1000.0,-0.002206592424328026
3.0,log2,500.0,-0.0022095826007556872
3.0,sqrt,100.0,-0.002211282202523698
3.0,0.1,500.0,-0.002214157939022239
3.0,sqrt,1000.0,-0.002216670055879279
3.0,log2,1000.0,-0.0022200011169256446
3.0,0.1,100.0,-0.0022220535181788864
3.0,0.5,500.0,-0.002223931638252058
3.0,0.5,1000.0,-0.0022257796282358203
3.0,sqrt,500.0,-0.0022281716424859296
3.0,log2,100.0,-0.0022423968892084506
3.0,0.5,100.0,-0.002252761595390426
