# 4047.680468 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,500.0,-0.0028000799765359797
5.0,0.1,1000.0,-0.0028086102074743264
3.0,0.1,500.0,-0.002808757231621541
10.0,0.1,1000.0,-0.0028108427551207633
3.0,0.1,1000.0,-0.0028127985170561714
10.0,sqrt,1000.0,-0.002819596187651826
10.0,0.5,1000.0,-0.0028238592969807956
5.0,0.1,500.0,-0.002824065357309014
5.0,0.5,1000.0,-0.002828402306603104
3.0,0.1,100.0,-0.002831390282783752
10.0,0.1,100.0,-0.002831664382653445
5.0,sqrt,1000.0,-0.0028343147457264165
10.0,sqrt,500.0,-0.0028353591531229067
3.0,sqrt,500.0,-0.0028370293272888198
5.0,0.5,500.0,-0.002837236002883316
10.0,0.5,500.0,-0.0028379474542747935
5.0,sqrt,500.0,-0.0028407277607104915
10.0,sqrt,100.0,-0.0028431485110313034
3.0,sqrt,1000.0,-0.002844111928773406
5.0,0.1,100.0,-0.002848976767809206
5.0,sqrt,100.0,-0.0028513749854030606
3.0,0.5,1000.0,-0.002857396164841721
3.0,0.5,500.0,-0.002862506000841511
3.0,0.5,100.0,-0.0028739270332374064
5.0,0.5,100.0,-0.002877843116058973
3.0,sqrt,100.0,-0.002891804760683241
10.0,0.5,100.0,-0.002892975388367431
10.0,log2,500.0,-0.0029287388459960546
10.0,log2,1000.0,-0.002931392345599076
5.0,log2,500.0,-0.0029370888675410234
5.0,log2,1000.0,-0.002945316808025059
5.0,log2,100.0,-0.0029552724351553576
10.0,log2,100.0,-0.002955825257361366
3.0,log2,100.0,-0.0030081860112652022
3.0,log2,1000.0,-0.003013591376603187
3.0,log2,500.0,-0.003016527779302281
