# 1053.232626 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,100.0,-0.004043887841171267
10.0,0.1,1000.0,-0.0040652985433986735
10.0,0.1,500.0,-0.004071831036915348
10.0,sqrt,500.0,-0.0040875122920121165
10.0,0.5,1000.0,-0.004088086346555217
10.0,0.5,500.0,-0.0040932783692536005
10.0,log2,1000.0,-0.004098124709202733
10.0,sqrt,1000.0,-0.004100211676326165
10.0,sqrt,100.0,-0.004102065232467057
10.0,log2,500.0,-0.004109836253001998
10.0,log2,100.0,-0.004112762680555265
10.0,0.5,100.0,-0.00412371661544921
5.0,sqrt,100.0,-0.004150569689055986
5.0,0.1,1000.0,-0.004166331730235054
5.0,0.1,100.0,-0.004169547840080281
5.0,0.1,500.0,-0.004171389522942873
5.0,sqrt,1000.0,-0.004172362068330304
5.0,sqrt,500.0,-0.004176006836785482
5.0,log2,1000.0,-0.004184989923514415
5.0,log2,100.0,-0.004185772447172443
5.0,log2,500.0,-0.004185879136700657
3.0,0.1,100.0,-0.00422839878820481
5.0,0.5,100.0,-0.004250037772999426
5.0,0.5,1000.0,-0.0042543319691159594
3.0,log2,500.0,-0.004255078088705587
5.0,0.5,500.0,-0.004258911845007473
3.0,0.1,500.0,-0.004259413364063871
3.0,0.1,1000.0,-0.004260319463461755
3.0,sqrt,100.0,-0.0042630407256059885
3.0,log2,1000.0,-0.00426413297211944
3.0,sqrt,500.0,-0.004267215309561379
3.0,sqrt,1000.0,-0.004268373869073178
3.0,log2,100.0,-0.004271490438138641
3.0,0.5,100.0,-0.0043571161833353194
3.0,0.5,1000.0,-0.004362266160412684
3.0,0.5,500.0,-0.004378817001198061
