# 1146.370212 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,1000.0,-0.0019344977271410183
10.0,0.1,500.0,-0.0019503669636731474
10.0,sqrt,500.0,-0.001956323373523551
10.0,log2,1000.0,-0.001957442531802342
10.0,0.1,100.0,-0.0019592383012604236
10.0,sqrt,1000.0,-0.0019600980748512966
10.0,log2,500.0,-0.0019618146207682893
10.0,sqrt,100.0,-0.001973878114133811
5.0,0.1,1000.0,-0.0019801710550514722
5.0,log2,1000.0,-0.0019816979474745152
10.0,0.5,1000.0,-0.0019827224578265884
5.0,sqrt,500.0,-0.0019836259861014177
5.0,sqrt,100.0,-0.001985654762892668
10.0,0.5,500.0,-0.0019860740298377317
5.0,0.5,1000.0,-0.001986180036385254
5.0,sqrt,1000.0,-0.0019913450485718664
5.0,log2,500.0,-0.0019940018647347088
5.0,0.1,100.0,-0.0019967802511187947
5.0,0.5,500.0,-0.0019974678448045477
5.0,0.1,500.0,-0.0019987279154213542
10.0,log2,100.0,-0.0019988430220211914
10.0,0.5,100.0,-0.002003050564610656
5.0,log2,100.0,-0.0020146946168465947
5.0,0.5,100.0,-0.0020218438287359945
3.0,0.5,1000.0,-0.002052326895553443
3.0,0.5,500.0,-0.002052785803006737
3.0,log2,500.0,-0.0020568081286913885
3.0,sqrt,1000.0,-0.002064728102433543
3.0,sqrt,500.0,-0.0020672548388400783
3.0,0.5,100.0,-0.0020704036077291766
3.0,log2,1000.0,-0.002070641565272069
3.0,0.1,500.0,-0.0020820821841383112
3.0,0.1,1000.0,-0.0020877929740022345
3.0,0.1,100.0,-0.0020968908284900957
3.0,sqrt,100.0,-0.002096944238957146
3.0,log2,100.0,-0.0021016244067385793
