# 1427.848154 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,500.0,-0.0019673534931144536
10.0,0.1,1000.0,-0.001972635220717281
10.0,0.5,1000.0,-0.0019900495434932953
10.0,0.5,500.0,-0.001993773253640593
10.0,log2,500.0,-0.0019962237181388636
5.0,0.5,1000.0,-0.002000013863922632
5.0,0.5,500.0,-0.002001888219997158
10.0,sqrt,1000.0,-0.0020045477825061117
10.0,log2,1000.0,-0.002011783506534187
5.0,sqrt,1000.0,-0.002011789370279483
5.0,0.1,1000.0,-0.0020120103681794967
10.0,0.5,100.0,-0.002013248415121944
10.0,0.1,100.0,-0.002013597802892901
10.0,sqrt,500.0,-0.0020141394981783864
5.0,log2,1000.0,-0.0020166641193881565
10.0,sqrt,100.0,-0.0020221991574772735
5.0,0.1,500.0,-0.0020232170160112855
10.0,log2,100.0,-0.0020255272051179266
5.0,log2,100.0,-0.0020277187077623496
5.0,log2,500.0,-0.0020283921711159022
5.0,0.5,100.0,-0.002028896977019595
5.0,sqrt,500.0,-0.0020314369457342797
5.0,sqrt,100.0,-0.002034406166680615
5.0,0.1,100.0,-0.0020426106085365938
3.0,0.5,1000.0,-0.002071707045037445
3.0,0.5,100.0,-0.0020756570962667583
3.0,0.5,500.0,-0.002077880446815958
3.0,log2,500.0,-0.0020818857511145034
3.0,sqrt,1000.0,-0.002093313264671124
3.0,log2,1000.0,-0.0020978797940699153
3.0,log2,100.0,-0.0020998769796237993
3.0,sqrt,500.0,-0.002100635920281782
3.0,0.1,1000.0,-0.0021008422088940317
3.0,sqrt,100.0,-0.0021038239584715416
3.0,0.1,500.0,-0.0021073646851275316
3.0,0.1,100.0,-0.002116979582235342
