# 1078.795741 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,500.0,-0.001875589813449757
10.0,0.1,1000.0,-0.0018782826074835383
10.0,0.1,100.0,-0.0018874490550360914
10.0,log2,500.0,-0.0019063730114430224
10.0,0.5,1000.0,-0.0019107685399001144
10.0,0.5,500.0,-0.0019148917086646896
5.0,0.5,500.0,-0.0019173977868213587
10.0,sqrt,1000.0,-0.0019177547731023855
5.0,log2,100.0,-0.0019185532154098364
5.0,0.5,1000.0,-0.0019198494908978232
5.0,0.1,500.0,-0.0019211806076736286
10.0,log2,100.0,-0.0019250012739514461
5.0,0.1,1000.0,-0.0019262826395905178
5.0,0.5,100.0,-0.0019266955362213282
10.0,log2,1000.0,-0.0019288827065314248
10.0,sqrt,500.0,-0.0019331596814052784
5.0,log2,500.0,-0.0019332979321652823
10.0,0.5,100.0,-0.0019346843313400495
5.0,log2,1000.0,-0.0019356250879545827
5.0,sqrt,1000.0,-0.0019423420795784882
5.0,sqrt,500.0,-0.0019489100725055518
10.0,sqrt,100.0,-0.00195281520567629
5.0,0.1,100.0,-0.001979263367506299
5.0,sqrt,100.0,-0.001980044982838329
3.0,0.5,1000.0,-0.002003997813444688
3.0,0.5,500.0,-0.0020156507895063916
3.0,sqrt,1000.0,-0.0020238527192231377
3.0,log2,500.0,-0.002024138194619162
3.0,0.1,100.0,-0.002028095651800388
3.0,sqrt,500.0,-0.0020285604643468973
3.0,log2,1000.0,-0.002029516745593544
3.0,0.1,1000.0,-0.002034641003418442
3.0,0.1,500.0,-0.0020352228848424985
3.0,log2,100.0,-0.002038338941494279
3.0,sqrt,100.0,-0.002042637530365622
3.0,0.5,100.0,-0.002044669485550657
