# 440.498474 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,1000.0,-0.0020261200738013263
10.0,0.1,500.0,-0.002035980362734784
5.0,0.1,1000.0,-0.002039871346826267
10.0,0.1,100.0,-0.0020464401996810595
5.0,0.1,500.0,-0.002055050246541211
5.0,0.1,100.0,-0.0020741910314755188
5.0,sqrt,500.0,-0.002076351613831162
5.0,sqrt,1000.0,-0.002077507086096975
5.0,log2,1000.0,-0.002083788731192633
10.0,sqrt,500.0,-0.0020869017388483583
10.0,sqrt,100.0,-0.002087957110951106
5.0,log2,500.0,-0.0020881555586612457
10.0,sqrt,1000.0,-0.002090322882083842
10.0,log2,500.0,-0.0020961983297448665
10.0,log2,1000.0,-0.0020965748343157
5.0,0.5,1000.0,-0.0021030172937892126
10.0,0.5,1000.0,-0.002104669855219705
10.0,log2,100.0,-0.002104855637728653
3.0,0.1,1000.0,-0.0021064615103837626
5.0,sqrt,100.0,-0.0021109402499224876
3.0,0.1,500.0,-0.0021162781845111456
5.0,0.5,500.0,-0.0021165461744295172
5.0,0.5,100.0,-0.0021170110858902014
5.0,log2,100.0,-0.002121244484163628
10.0,0.5,500.0,-0.00212141321608299
10.0,0.5,100.0,-0.0021319617322961963
3.0,log2,1000.0,-0.0021366261756540425
3.0,sqrt,1000.0,-0.002141045719789327
3.0,0.1,100.0,-0.0021411154531880026
3.0,log2,100.0,-0.0021425771925410466
3.0,sqrt,500.0,-0.0021451647918857494
3.0,log2,500.0,-0.0021510294004999644
3.0,sqrt,100.0,-0.0021537759366624673
3.0,0.5,500.0,-0.0021628649989319966
3.0,0.5,1000.0,-0.0021714032729612215
3.0,0.5,100.0,-0.002189480029207954
