pop	Y	Mean	stdev	rep_1	rep_2	rep_3
Bella	0.697712608000997	0.6374216060198868	0.0007186658784019884	0.6376037048284988	0.6380317061450721	0.6366294070860895
Bella	0.618177573087881	0.5981633825838898	0.002383475937123524	0.5978775582293915	0.5959357070973668	0.600676882424911
Bella	0.479318751447226	0.587208069863615	0.0005189941164323063	0.5875317186286558	0.5874830446346618	0.5866094463275274
Bella	0.639407771199002	0.6325302393918842	0.0013916522769870817	0.6341053743951837	0.6314671571881237	0.6320181865923457
Bella	0.629416839956909	0.6060975578877414	0.001483852850938707	0.6077048311775881	0.6058080454613181	0.6047797970243183
Caesar	0.646954060017318	0.6382655975974907	0.0006166229020540527	0.6388401411149423	0.6383425354120238	0.6376141162655061
Caesar	0.695823449815854	0.6551757093781417	0.0006499065611414969	0.6551453822058572	0.6545414973140007	0.655840248614567
Caesar	0.738614572976521	0.6607506800505627	0.0024246277130125183	0.6579648575420879	0.6623848676197683	0.6619023149898319
Caesar	0.588665260151992	0.6210790910458065	0.001277849335268888	0.6196080239017226	0.6219139725762814	0.6217152766594155
Center Hill	0.604449359770066	0.6035506000828862	0.000938123612052919	0.6044493641052658	0.6025775355958122	0.6036249005475803
Center Hill	0.641346852852781	0.6165348752770919	0.0012426587951580431	0.6151092103634004	0.6171069577904732	0.6173884576774022
Center Hill	0.662666704248598	0.6693260487911937	0.0011670940813684031	0.6702061083654456	0.6697698911407995	0.6680021468673359
Center Hill	0.581466827165453	0.6205516693459451	0.0010241000035368887	0.6207121882337886	0.6194567887499529	0.6214860310540934
Center Hill	0.672745415605407	0.6234779843180589	0.0026432451755113925	0.6209317178597865	0.6232936744435126	0.6262085606508777
Dalton	0.655469682950335	0.6385833868348954	0.001117582511318715	0.6388015523563139	0.6395758001130141	0.6373728080353582
Dalton	0.650437837257087	0.6422235494102168	0.000929651702644473	0.6425027654823698	0.642981594468057	0.6411862882802235
Dalton	0.69478264452057	0.6263090484134157	0.0011372276170713257	0.6265620691734117	0.6250666204628562	0.6272984556039793
Dalton	0.66224205875648	0.6375801584376166	0.0005639616446211676	0.6371735349655566	0.6382239764171679	0.6373429639301254
Dalton	0.519264122534412	0.6227783045048108	0.0004436059268662504	0.6228565375861858	0.6231775895004855	0.622300786427761
Gav	0.666890228781906	0.6368087127106495	0.0008109115457499953	0.6373825132629439	0.6358809987098751	0.6371626261591297
Gav	0.59323457040561	0.6009595678925876	4.331817916979778e-05	0.600977541196739	0.6009101561876363	0.6009910062933876
Gav	0.594775938167894	0.6121587539697222	0.0015791792109408217	0.6103410466949907	0.6129420600949311	0.6131931551192448
Gen Butler	0.717195562230872	0.6295607402797009	0.001149884831024747	0.6285602674380801	0.6308169698846772	0.6293049835163455
Gen Butler	0.564754008569007	0.6366371166778692	0.00035254589909503004	0.6369617754315656	0.6366874751737477	0.6362620994282945
Gen Butler	0.637413163449859	0.6563507409180068	0.0019644514251811415	0.6541294031926477	0.6570635235729353	0.6578592959884374
Gen Butler	0.67855646831956	0.6487924890675161	0.0006954797621977507	0.6495660156584759	0.6482188178817929	0.6485926336622795
HV	0.725148094801011	0.667027289705009	0.0012155740520829416	0.6665041213315867	0.668416855015625	0.6661608927678156
HV	0.652156860846613	0.6155825547235348	0.001916265106839422	0.6144215389907128	0.6177943515927884	0.6145317735871032
HV	0.648204185122688	0.6319272412024213	0.001643691176124337	0.6304293756469923	0.6336856390691129	0.6316667088911587
HV	0.691230219358737	0.6333987459744065	0.0013972513479279555	0.6335392177423789	0.6347204555243682	0.6319365646564723
HV	0.68865627264489	0.6436204679072709	0.00030402643031403993	0.643279121517543	0.6438621625918001	0.6437201196124698
Hwy 27	0.575758947714448	0.5900020374480478	0.0006745340784123304	0.5901404095720602	0.5892690471306983	0.5905966556413847
Hwy 27	0.625368083629441	0.5851163084121703	0.001035903650971926	0.5856433856225857	0.5857826830205436	0.5839228565933816
Hwy 27	0.56852797627799	0.5247063763074346	0.0020430163398813947	0.5229446257789557	0.5242285418633199	0.5269459612800281
