# 1000.511187 sec
max_depth,max_features,n_estimators,mean_test_score
5.0,0.1,100.0,-0.007690895352706384
5.0,0.1,1000.0,-0.0076999139446625965
3.0,0.1,500.0,-0.007719698605644499
5.0,log2,500.0,-0.007730387232587167
3.0,0.1,1000.0,-0.007747280439492968
5.0,log2,1000.0,-0.007752898929706586
10.0,0.1,500.0,-0.007754518761681602
10.0,0.1,1000.0,-0.00775656476898354
5.0,sqrt,500.0,-0.007759516550139847
3.0,0.1,100.0,-0.007761640496505642
5.0,sqrt,1000.0,-0.007761911276269339
3.0,sqrt,1000.0,-0.007766232371610704
5.0,0.1,500.0,-0.0077710904087141775
5.0,sqrt,100.0,-0.007779579355950801
5.0,log2,100.0,-0.0077826690401738546
3.0,sqrt,500.0,-0.00780195632763569
3.0,log2,500.0,-0.007803531250573363
3.0,log2,100.0,-0.007806432767929507
10.0,sqrt,1000.0,-0.007810510888552813
3.0,log2,1000.0,-0.007811005231680967
10.0,log2,1000.0,-0.007813647864747603
3.0,0.5,500.0,-0.00781424516344775
3.0,0.5,1000.0,-0.007815174216199344
10.0,log2,500.0,-0.007825268105972023
10.0,sqrt,500.0,-0.007827112483025705
10.0,0.5,1000.0,-0.007838385549011843
5.0,0.5,1000.0,-0.007855277633320591
5.0,0.5,500.0,-0.00785987074760985
3.0,sqrt,100.0,-0.007870491311828192
3.0,0.5,100.0,-0.007878038773328561
10.0,0.5,500.0,-0.007899053537353352
10.0,0.1,100.0,-0.007900349582954505
10.0,sqrt,100.0,-0.007918159845029058
10.0,0.5,100.0,-0.007939024298103736
5.0,0.5,100.0,-0.007952854936761709
10.0,log2,100.0,-0.007959420497018695
