pop	Y	Mean	stdev	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10	rep_11	rep_12	rep_13	rep_14	rep_15	rep_16	rep_17	rep_18	rep_19	rep_20	rep_21	rep_22	rep_23	rep_24	rep_25	rep_26	rep_27	rep_28	rep_29	rep_30	rep_31	rep_32	rep_33	rep_34	rep_35	rep_36	rep_37	rep_38	rep_39	rep_40	rep_41	rep_42	rep_43	rep_44	rep_45	rep_46	rep_47	rep_48	rep_49	rep_50	rep_51	rep_52	rep_53	rep_54	rep_55	rep_56	rep_57	rep_58	rep_59	rep_60	rep_61	rep_62	rep_63	rep_64	rep_65	rep_66	rep_67	rep_68	rep_69	rep_70	rep_71	rep_72	rep_73	rep_74	rep_75	rep_76	rep_77	rep_78	rep_79	rep_80	rep_81	rep_82	rep_83	rep_84	rep_85	rep_86	rep_87	rep_88	rep_89	rep_90	rep_91	rep_92	rep_93	rep_94	rep_95	rep_96	rep_97	rep_98	rep_99	rep_100
Bella	0.0756988272202362	0.18828274864136457	0.003205598447048141	0.1850046712200213	0.18805039334258383	0.19115803073682344	0.18948990817808914	0.18544731206032739	0.18861044571680188	0.19375187168697036	0.19096365272058746	0.18942619205875647	0.19203163877369445	0.1893770470428532	0.18367608915980027	0.1963402472686328	0.18488645066225953	0.18693431811382927	0.1882492370755255	0.18878387165079732	0.18696920411771337	0.18945054429704516	0.1913117306881304	0.19508599803625862	0.18878274823816446	0.18311389058318944	0.1854312432709713	0.19321627091859694	0.19188207591252013	0.18590826062454244	0.18406648634795167	0.18777761078786737	0.18821848509407918	0.1878109845926188	0.18724373523023116	0.1875174582827711	0.18794095402377342	0.19103895645631824	0.1890605714279609	0.19069956726375276	0.186968732814428	0.18901605573611843	0.18631957219430467	0.1881355450967871	0.18994130345475616	0.1836848970998844	0.18643506235359797	0.19276233829015388	0.18917837910786858	0.182418267268835	0.18825612830904168	0.188109626011194	0.19169263724827387	0.1894688557938176	0.18788188564301259	0.18698894395359572	0.1832417717029609	0.17967143683803408	0.1920210250829372	0.18433629015930006	0.18364691333142336	0.18365730126347632	0.18337978772591176	0.18519796885467335	0.19116199597877878	0.1830744123082991	0.19080532341734033	0.18973577810761832	0.18761481662697643	0.18692862164352994	0.18733008908196266	0.1851548442303341	0.18262711417837274	0.18977934342089978	0.19190600806416497	0.1859295340036568	0.18487027107325732	0.18711372943261886	0.18844435940864726	0.18580414782469792	0.18953688115813996	0.18673162336656407	0.19242672733595773	0.1924318277995605	0.1876652201742676	0.19329947372097755	0.1902338688071883	0.1921556179815202	0.18559716257253187	0.187663699099469	0.18942762227989302	0.1915401055919499	0.18974280908669564	0.19413817175930972	0.18994352682850593	0.1891020019159203	0.1877398022614752	0.19011050677559713	0.18251523373566006	0.18646444206945786	0.1942387317521521	0.18903438722310784	0.19113615304220016
Bella	0.153428877072524	0.11420215272164792	0.004189982064318439	0.10952292899320729	0.10765095197176784	0.1072672598470515	0.11627788091041812	0.11513906122053966	0.10780984457613493	0.11514539292070183	0.11368992081260222	0.10989644796833332	0.118758794555223	0.116753224776859	0.11656551658128671	0.11053318775165485	0.10996005893603333	0.11470752302381287	0.1150797133435199	0.11480420145316607	0.11560217860383423	0.12085667378594876	0.11321390271417336	0.11970483268251823	0.11689900196817676	0.1041533515748276	0.10947032101868331	0.1160891941786913	0.1223355856569604	0.11469143875947455	0.11269224099731616	0.11441783114894866	0.11575428490794053	0.11142713394284105	0.11551262327232611	0.11152910445138167	0.11638395879310184	0.11971529769410016	0.11509007322005808	0.11691727966476836	0.11416443270966384	0.10691146634044738	0.11281576315998372	0.11617577348650625	0.1180881775875079	0.10985048723666668	0.11445706435971915	0.11725555848841869	0.1194974236996289	0.11744149337586561	0.11572497983195425	0.11293153756714856	0.11466841048283327	0.10837260708258803	0.11410711027193134	0.1235154692574572	0.10721411620680946	0.11629172980579461	0.1159401797371268	0.12222246533426913	0.11131339720770561	0.11261397551046974	0.11371617761925507	0.10612595925392183	0.11618416630014626	0.1107585247369455	0.11744406435695465	0.11911399977474407	0.11494835770022978	0.10601699945192587	0.11544289073718944	0.11904067609870432	0.10175036813867298	0.11096184216311757	0.10727959307880536	0.11243655385860044	0.11508557642697026	0.10978949159563586	0.12073281883508123	0.10895716848780426	0.11094590274198687	0.11682045008616457	0.11471186453693526	0.12127224280345797	0.11440576150020002	0.11619960182472218	0.11832822162917471	0.1173301341997726	0.11384887417540271	0.11723734910133371	0.11252356621214901	0.11601335842712807	0.11801280478864354	0.11525363021688512	0.11834915421301918	0.11498870846250675	0.11752332066878961	0.11826897793407183	0.11071538060043244	0.11314322455400451	0.11568976111727582	0.11136613902257039	0.10788977731457682
Bella	0.286863621162919	0.0894888566174849	0.0027424013425474477	0.08803616832033713	0.08571596255334898	0.08679555946069804	0.08955643431970062	0.08892469556756988	0.09295891435072656	0.0879594908193925	0.09034732793790058	0.08769943745126196	0.0920307110489213	0.09061316903401184	0.08924144120945529	0.08616896843613019	0.08812387151978752	0.08896401514597152	0.09181808178591765	0.08945589426657571	0.0930342538342604	0.08842839125507751	0.08890806917912218	0.08948642363210717	0.08762209882260229	0.09012680217298447	0.08402050479475051	0.08602622427602227	0.09217185375651107	0.09527258719001988	0.09372390374832913	0.0865251024999478	0.08735042471279471	0.0888649426656478	0.08518089935592968	0.0878484524488198	0.08975783376471723	0.08352847054680186	0.08652152922292188	0.09239332463220053	0.08956990798705787	0.09341704516231004	0.08273216370606754	0.08975247285394297	0.09414705066667761	0.08971366556554466	0.09050860297970645	0.09229988165335434	0.08987701641988971	0.08758143872737495	0.08782640806915883	0.092608955279733	0.09233780397934037	0.0884808612466743	0.09169560747449479	0.09499078428526686	0.08663086482835707	0.08650769869446566	0.09329767204521251	0.09452745701183414	0.08698865785722665	0.09226662843825027	0.09094898661397248	0.09147097180097498	0.08789777857568501	0.09073846078951758	0.0908675124872713	0.08769440900748118	0.08814394464972233	0.08781983394996576	0.09091993506197936	0.09168308177691731	0.08830636962663053	0.0882800895707439	0.08962457943480936	0.09056749977557713	0.09135088763311737	0.09476859766193468	0.09626766150489727	0.08969856670979785	0.08569536798505684	0.08731344426512994	0.09009952078106499	0.08742548008525516	0.08527821250229482	0.08959529990379313	0.09468874271185047	0.0851909432749045	0.08925837904573848	0.09296950179191817	0.08843605847731399	0.09142120615025257	0.08865636911039518	0.08962177721456385	0.09112810883710207	0.08677115005097641	0.09114036150441579	0.08748547606272544	0.08618359190209358	0.08731092701693384	0.08950347663274362	0.08919909712263697	0.08850312201711792
Bella	0.227096481660709	0.09621565581699086	0.003301076763006216	0.09293184900046969	0.09451491912358556	0.09501823067515441	0.09410346214383294	0.09719395698458984	0.09594190439939328	0.09553602073398938	0.09675485128781285	0.09640110269016385	0.09831530416015526	0.09948801036639968	0.09842815973598357	0.0920228045586591	0.09049283852375967	0.09908008650092726	0.09525359499093555	0.10034961101258345	0.09870669685628977	0.09389993559586314	0.09462337165461265	0.09781888777542588	0.09930247081072838	0.0942140230098099	0.09150754451369662	0.09322883609271918	0.09951739471862774	0.09992321999315604	0.0977781569213963	0.09186416020524864	0.09685692539497251	0.09205791967653908	0.09475531128637202	0.09555235528929364	0.09840610406197821	0.094762523951649	0.0943792657055028	0.09750389179922801	0.09848868010836964	0.09496497973908329	0.09197714680982497	0.09906843708829524	0.10164807727818703	0.0938742391960695	0.10022862273130625	0.09943094569579303	0.09770564487945652	0.10010053996038866	0.09839413697809336	0.09484118622602955	0.10032903612933569	0.0898927514159315	0.09941705339566694	0.10140285591837638	0.08712019534754016	0.09280755629187275	0.09861090520410161	0.10454196567473589	0.09390270292024207	0.091299517406066	0.09715008420469623	0.0973377869261126	0.09439250787672716	0.09946184370926411	0.09583417449154126	0.09602248682117136	0.09615850304117654	0.09156963250263941	0.09734364364574072	0.10052632470693827	0.09027381126579938	0.09026879329362131	0.09085450564113631	0.09942738486219736	0.09846802262288025	0.09851087461286948	0.10102640331294822	0.0967861082589353	0.09494170819664739	0.0980416694181667	0.09729471300054607	0.09971799998715607	0.08983585893076793	0.09684228228844473	0.09866776104279494	0.09453422493169884	0.09769974202868947	0.09759912165905293	0.09235802391068801	0.09426367786314455	0.09730173314707055	0.1037491781820024	0.09817519742979966	0.09808226619065706	0.09517097616178209	0.09617368935353271	0.09293118793362842	0.09223211039645113	0.09911579741138601	0.09271163811991204	0.09417925372239823
Caesar	0.457381869301113	0.4832977844502213	0.0017612308268024801	0.4841073852704202	0.48499779777138746	0.4819441219039381	0.48206694884252765	0.4844626721849191	0.485818751068106	0.4842120901931299	0.48324254628507873	0.48280736222389536	0.48455411134600335	0.47877342904718534	0.4852107256985653	0.48194783523400814	0.4831456324606676	0.4794230462889388	0.4825391851994337	0.4809155105543345	0.4844854130125385	0.48332539623907006	0.48530069330317627	0.48421497521768553	0.4864939381008349	0.4824745029520462	0.48055346092231355	0.48514717495320975	0.4854510831850043	0.48204198511462204	0.4836288301971832	0.4804481336917417	0.4840425070385404	0.4818641349053116	0.483656593740126	0.4832728153619505	0.48348773147442015	0.4837745335569186	0.48326805466538747	0.4866439220044907	0.48651681466350777	0.4811959873475977	0.48550369848590447	0.48318965609650083	0.48129458202802294	0.47978005603042073	0.48300821236657704	0.48243712578191406	0.48393786204399525	0.4832094632158132	0.4816850097807403	0.4848624087066916	0.48238273205455323	0.4841350075517732	0.4777774017841535	0.48677501645556714	0.48184788254939737	0.4836894389732499	0.4839313426245574	0.48532112142586165	0.4815658703756464	0.4851659849835314	0.4850272225818435	0.4840917701879583	0.48220344878591537	0.4814275063880287	0.4821420141932879	0.48389117139325305	0.4855465858824844	0.48442125485236553	0.48438912320491156	0.4833406076879234	0.4840666425651618	0.4858435125639477	0.482668873099066	0.4840908647815841	0.48402933355961514	0.48269158177459465	0.48016771935895813	0.4850808051546739	0.48345706905378527	0.4852323862258688	0.4820701959262378	0.4823200158925577	0.48336836887133816	0.48283323442703596	0.4841132481850422	0.4835852765910007	0.48285759948731743	0.48319353967694595	0.48253654527250905	0.48413787172340483	0.4857647339529396	0.4801023140386104	0.48245197775691007	0.48165941190753386	0.48402028117285933	0.4822480819598813	0.4817954266204164	0.48178597458810135	0.48354249680968114	0.4820770561013738	0.4865475942300997
Caesar	0.604409641421861	0.484246148168204	0.0021944732181555164	0.48422483981045106	0.4835343581643415	0.4819201892725033	0.4822525054110563	0.4856544527677723	0.4863874124900037	0.48304139015392367	0.48592423510932614	0.4844480970465686	0.48826882409291134	0.48480517299442605	0.4850718945052839	0.48547122204059306	0.4888518288064128	0.4836141636151924	0.4843011240868078	0.4843142273908156	0.48832224063349483	0.4838437202646432	0.48779637859990255	0.48471039710581587	0.4876544218568677	0.48707452997517475	0.4861499577049354	0.4848245318593069	0.4862987946011853	0.48254256186358	0.48306022173835866	0.4804257307937967	0.48285891366062655	0.4845687993281583	0.48049679168751114	0.4854431065676434	0.4839962435015472	0.4812639771941406	0.48245714285920654	0.48333237664713674	0.48472683581316	0.48246654581840165	0.4848386182394215	0.4840611722033059	0.4858518725339447	0.4827346526834932	0.48922400720079695	0.48247665440679965	0.4846179464715077	0.4854497954337569	0.4808549411123796	0.4831345783737843	0.48134563771289735	0.48187691856489423	0.4795820260305908	0.4837424972227321	0.485740766516255	0.4832338208916852	0.48608962301690284	0.4838390076477564	0.48287354154113027	0.4857570558449402	0.4843822431235562	0.48686401396552925	0.4825192346818583	0.4806965838634648	0.4835753250028379	0.489364988886025	0.4870733159622853	0.48168783873902826	0.48510893098896296	0.4864197667228661	0.48691140431679447	0.4850696532348646	0.47990471807259366	0.4870683364907338	0.4808132155025145	0.48275497481403074	0.4838628818265644	0.48220022178717825	0.4843693295272791	0.4813096555483021	0.48498863170655787	0.4866162775396176	0.4840198644784315	0.4814279530721549	0.48567801480268635	0.4839203312787972	0.485501104044028	0.487296185518043	0.4847261945837451	0.4851363977599005	0.48417103005567186	0.4812331882143138	0.48156636718727835	0.48551754986139123	0.4879093072444567	0.4831646724255189	0.4834299709741302	0.48617498543008403	0.48188949191493957	0.4812921211639789	0.4832732530254415
Caesar	0.520130076602277	0.4811748952869869	0.0018853075250657289	0.4807199181695892	0.48367753664648383	0.4789523242473598	0.4813505570691822	0.4842718275403406	0.48167247182530976	0.4817559400439792	0.48403236966538704	0.4829753838689361	0.47835779600195827	0.48316047342689294	0.48142179870270463	0.4802385375661118	0.4848852414089701	0.47952201367072483	0.4812780696469644	0.47974131695194366	0.4815193245850187	0.48077388294930284	0.48224735453188966	0.4820082493231895	0.4797721500569973	0.4825712468631335	0.48235137541225676	0.479934928644043	0.4835439746606498	0.4785131065903212	0.4843386521825358	0.4825054277018578	0.48076025479173634	0.4802963392005245	0.4800575408645835	0.47774633411511525	0.4823313084324092	0.47991869569788786	0.48027107599954777	0.4809486434335572	0.4832108306798876	0.48119399453713224	0.48258982233016046	0.48200160231259254	0.47997258391671493	0.48182509302994847	0.48716549978303	0.48277910453996825	0.48275035924865367	0.48136146606613356	0.4815452981236881	0.4806479113322504	0.4801842708494722	0.47977439851280035	0.478703543152208	0.48077338286093485	0.48201502509892014	0.4798448610333929	0.4792950781654659	0.4788366510399965	0.47912377014859675	0.48022123120614985	0.4798537360056182	0.4860211811638726	0.47841691308610274	0.4786671447575771	0.4814789963565612	0.4785366544589445	0.4803734505199777	0.47922514050221976	0.47918319616012767	0.48207164556392856	0.4827521198850068	0.4809212561774511	0.4803456115301588	0.4849227913171119	0.47898111944497057	0.4802080828680303	0.4814372541645691	0.4803849219478929	0.4820036904723946	0.4812037898548883	0.48137609445209817	0.48421315785669505	0.4800314047713719	0.47910061003459836	0.4810506195965717	0.4807747725493064	0.48178044889357774	0.4814180839213983	0.47949608575946945	0.48251114339573425	0.4837006397943181	0.4775063567205746	0.48367616064372565	0.48024099209947746	0.48353946966709144	0.4812155959505202	0.4796373663367395	0.48452604466184956	0.47763245616381705	0.47984035490669946	0.48099375382813775
Caesar	0.534427327282805	0.47687171433032716	0.0018827469081842078	0.47625235683190453	0.4780491811972716	0.47512296841130053	0.47693133057065734	0.4773826860323163	0.4777004838450145	0.4768591148665406	0.4765087148465106	0.47886120644537344	0.47592118983140275	0.47712210873753164	0.47975043846018023	0.4762589899306944	0.47877951397688634	0.4730247238446194	0.4775151052401482	0.4743795411039389	0.4770360910941047	0.4742402312199626	0.47557254713023606	0.4776616751697744	0.4784461846490506	0.4798258039970267	0.477156428316269	0.4757942878870104	0.47693542717090603	0.47591353003842346	0.4792728092762435	0.4772522969795762	0.47676384292255497	0.47991147896861847	0.47332427566988056	0.4762962948516941	0.4764879540771998	0.47827354430660185	0.47504805602889605	0.47713426988878926	0.47858172312280234	0.47864658306302676	0.47584638944849256	0.478026286443915	0.4761687085029754	0.477263392963643	0.4830096975890359	0.4785388415748978	0.4779049088886254	0.4759119006794834	0.47635584309936324	0.47615724805612764	0.4763206113711955	0.474829234240311	0.4730251393122579	0.47696567029844195	0.4766557856933775	0.4802095763761075	0.47475583866527277	0.4758756618030239	0.47466272226767353	0.4768745244934474	0.47517048133146306	0.4811582985969467	0.47536166008614755	0.4758464417607719	0.474913211993996	0.4757020899897991	0.47661330703134175	0.47662834597120973	0.47557477273139453	0.47795733019613273	0.47698865400476814	0.4777848220400524	0.47995234240213414	0.4797062617040516	0.47636111433784556	0.47743071168694334	0.47692849404564625	0.47783305572510837	0.47829912723269236	0.47766703948946504	0.4771292963501231	0.47740002990590674	0.47707858162620637	0.47319033583377923	0.476600427040609	0.4774758643117826	0.4794247681837785	0.47709138426392433	0.4771523873290837	0.4761489550719926	0.4794632277216	0.4720891158711173	0.4771675447680319	0.4746140296924594	0.4790438168885154	0.4744081391738232	0.4741772009516096	0.4810003227522733	0.47470181990705373	0.4747636238574104	0.47582002740511314
Center Hill	0.53802188375706	0.48939422055785364	0.003035081338142867	0.4869538845819816	0.49200832741290773	0.4864712929094021	0.48968122430012123	0.4890430687121794	0.49221865341566207	0.4923251817103252	0.48816707157527484	0.48534418379067845	0.4829556347782966	0.493246391461227	0.4904665926189727	0.4849797287771754	0.4907856252338876	0.49045572926134656	0.49023391149556184	0.4888212314365243	0.48947900276450784	0.4899682323988059	0.48960563925308287	0.489893930445496	0.4932530966144347	0.4922653832805677	0.4895037901453934	0.4860105838855452	0.4899889468717991	0.49500319153087174	0.4883304087353203	0.48848756970496043	0.4870014240957592	0.4872855250461741	0.48841382883767054	0.4863906168160026	0.49433260231182496	0.4867803172878286	0.49704828108705035	0.49093979936319293	0.49115640632817503	0.48898413674235663	0.49140714996881374	0.48879908952326645	0.4906340633841283	0.49119713699621176	0.4919360472785192	0.4903412752574421	0.4834622746821703	0.4903830556079419	0.48581955486220085	0.48936971689974745	0.48107106126302723	0.4882176938738137	0.4849130536488113	0.48797276324490296	0.4924851867867112	0.48094104589758213	0.4868811540475832	0.4923305270166913	0.4923030702745857	0.4921781361547567	0.4876134501882102	0.48557065970701563	0.48801691668651787	0.48712433202437466	0.4924927431471775	0.4923313461327294	0.4909220365964893	0.48851020508477605	0.48619682162574057	0.4926762802735964	0.4894224005736647	0.4872611304983964	0.48900701818635695	0.4909146279512174	0.49118589195627327	0.4835941593057452	0.4884141964897762	0.4887159959177785	0.48779403019592354	0.4947362935301396	0.4872756852140336	0.49163651604970166	0.49299888085316484	0.48970409357612366	0.48657561401750127	0.48769383526488197	0.4925468741170831	0.49273012141202854	0.49342297031160204	0.49137884093173145	0.49315824594522956	0.4882437565731688	0.48749891092015957	0.4908819697493853	0.4922719662971453	0.4827606242776193	0.4882737300789248	0.49255121076147157	0.48659924300973134	0.4893959984560655	0.4923989282094567
Center Hill	0.511207057816235	0.49860554722566336	0.00475921947109817	0.4971610674808289	0.503543610638825	0.49833875814380724	0.503361987321985	0.5017510584759584	0.4929463358032973	0.4982675248839211	0.48996605462066395	0.505143126732675	0.5002804803436619	0.49128985333820724	0.5054088530985993	0.49272408115232896	0.5014535699303797	0.5032349385378172	0.49748170506277706	0.5038887868348946	0.5050008872820335	0.502358310535283	0.5080150970448378	0.506319569273323	0.49603749514093703	0.5067661344252821	0.49568667565585117	0.4953562949244044	0.5011141537018421	0.4970541691592016	0.4920708501141018	0.49770706397983927	0.4992344526653923	0.49668234631613273	0.5051284509733286	0.4914610788865379	0.5045675445737074	0.4896741445976046	0.4920956779079743	0.49934031315014066	0.4956348143468977	0.508355305840013	0.4978946260713962	0.5028749036911763	0.5016291931847217	0.49302105015917996	0.5006292782573047	0.5085779982476396	0.5031776091663771	0.4970551407144804	0.5064662688751732	0.4954834018898565	0.4948932684973574	0.4980429490609904	0.5053747711176532	0.5027172500137638	0.49565756507987463	0.49640657521529324	0.49614693624722855	0.5000020881042803	0.4982735811136835	0.4999151604932413	0.49454418394127136	0.4927114575968843	0.49895269758884014	0.49789359712910725	0.4904010967077225	0.4900182084560522	0.5016722255066837	0.5011027603049147	0.49114089262321603	0.5012526765017246	0.493269506763435	0.4976517659316821	0.492882810481019	0.503225046238157	0.49655445533197823	0.5008400826729451	0.4949512289517412	0.49747105168069483	0.4950348009719513	0.4946253008934709	0.5045595623602069	0.500824537750094	0.4971538385288532	0.4939066302774619	0.5012497239168675	0.4970909897553539	0.495142659437255	0.49231560771571126	0.498292403396001	0.49354749019194205	0.49519499467618855	0.5052080128555642	0.5059296983754534	0.5003570467069575	0.503627735793234	0.4964156361148642	0.49935374895128964	0.49773439092660654	0.49768453130451457	0.5017922062235248	0.490835192938922
