# 21243.165908 sec
max_depth,max_features,n_estimators,mean_test_score
3.0,sqrt,1000.0,-0.00831605701745091
3.0,sqrt,500.0,-0.008415404315486017
3.0,sqrt,100.0,-0.008450864613491777
5.0,sqrt,1000.0,-0.008612986147078772
10.0,sqrt,500.0,-0.00861974932517158
5.0,sqrt,100.0,-0.008632478200923515
10.0,sqrt,1000.0,-0.008652195036064807
5.0,sqrt,500.0,-0.008682625720343142
10.0,sqrt,100.0,-0.008753300533054918
3.0,0.1,1000.0,-0.00885804945004807
3.0,0.1,100.0,-0.008875601557855026
3.0,0.1,500.0,-0.008927549384961219
10.0,0.1,100.0,-0.009073842228063622
5.0,0.1,1000.0,-0.00908583781348323
10.0,0.1,500.0,-0.009086517238460707
5.0,0.1,500.0,-0.009100172720418626
10.0,0.1,1000.0,-0.009105210801160198
5.0,0.1,100.0,-0.009203917094285715
10.0,log2,100.0,-0.009469831947000814
10.0,log2,500.0,-0.009527979582964632
5.0,log2,1000.0,-0.009563952647336973
10.0,log2,1000.0,-0.009577390637123028
3.0,log2,100.0,-0.00963633680432784
5.0,log2,500.0,-0.009639252525216798
3.0,log2,1000.0,-0.009712079929509452
5.0,log2,100.0,-0.009782532892216611
3.0,log2,500.0,-0.009899486580608812
3.0,0.5,500.0,-0.010126552696021146
3.0,0.5,1000.0,-0.01012699709211206
10.0,0.5,100.0,-0.01024854578354673
10.0,0.5,500.0,-0.010257992785179117
5.0,0.5,1000.0,-0.01028077510218817
10.0,0.5,1000.0,-0.01028340571693809
5.0,0.5,500.0,-0.010295689255949253
5.0,0.5,100.0,-0.01032209722576871
3.0,0.5,100.0,-0.010332670889874305
