# 1113.694145 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,500.0,-0.024290111985317026
10.0,0.1,1000.0,-0.02429741323486427
10.0,0.1,100.0,-0.024466913865782838
5.0,0.1,1000.0,-0.02547588675946959
5.0,0.1,100.0,-0.025502794575002465
5.0,0.1,500.0,-0.025528946527688372
10.0,sqrt,100.0,-0.026109216406538877
3.0,0.1,100.0,-0.026183137959275515
3.0,0.1,1000.0,-0.026210568214324038
10.0,sqrt,500.0,-0.02622153979026699
3.0,0.1,500.0,-0.026231878119812008
10.0,log2,500.0,-0.026240891518881287
10.0,sqrt,1000.0,-0.02629474050024843
10.0,log2,100.0,-0.02632895889722615
10.0,log2,1000.0,-0.026345936330567393
5.0,sqrt,1000.0,-0.026773723853582752
5.0,log2,1000.0,-0.026791885502620988
5.0,log2,100.0,-0.026822924446032532
5.0,sqrt,500.0,-0.02682315128009321
5.0,log2,500.0,-0.026831126166033326
5.0,sqrt,100.0,-0.027017927498044166
3.0,log2,500.0,-0.027034760248668226
3.0,log2,1000.0,-0.027059443314958086
3.0,sqrt,1000.0,-0.027069209667881493
3.0,log2,100.0,-0.02707107964851051
3.0,sqrt,500.0,-0.027099834499501114
3.0,sqrt,100.0,-0.027121946924828333
3.0,0.5,500.0,-0.028740820078350948
3.0,0.5,1000.0,-0.028778026785675433
3.0,0.5,100.0,-0.028840374664931306
5.0,0.5,100.0,-0.02932172683901082
5.0,0.5,1000.0,-0.029342084485297265
5.0,0.5,500.0,-0.029353879230574077
10.0,0.5,100.0,-0.029964996897161145
10.0,0.5,500.0,-0.029982534377896393
10.0,0.5,1000.0,-0.03005757868835795
