# 1136.784217 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.5,100.0,-0.004862696452657612
10.0,0.5,500.0,-0.004875525349507507
10.0,0.5,1000.0,-0.00489814425195353
5.0,0.5,1000.0,-0.004905677870624315
5.0,0.5,100.0,-0.004907564970338481
10.0,log2,100.0,-0.004922957823727461
5.0,0.5,500.0,-0.004926283406933098
5.0,sqrt,1000.0,-0.0049551278263731385
10.0,sqrt,500.0,-0.004957236411818614
10.0,sqrt,1000.0,-0.00497474833675376
10.0,log2,500.0,-0.004978203631306352
10.0,log2,1000.0,-0.004978335041524208
3.0,0.5,1000.0,-0.0049817568908404625
10.0,0.1,1000.0,-0.004983584236587369
5.0,sqrt,500.0,-0.004986532704683174
3.0,0.5,100.0,-0.004986947553214275
3.0,0.5,500.0,-0.004991749952112567
10.0,0.1,500.0,-0.0049953022076653425
5.0,0.1,1000.0,-0.004995490772576922
5.0,log2,500.0,-0.004998335688948909
5.0,log2,1000.0,-0.005000363001320496
10.0,sqrt,100.0,-0.0050065056402694
5.0,sqrt,100.0,-0.005016276075519235
5.0,0.1,500.0,-0.005039193504429855
5.0,log2,100.0,-0.0050441411468731745
5.0,0.1,100.0,-0.005083476069052814
3.0,sqrt,500.0,-0.005102886839998514
3.0,sqrt,1000.0,-0.0051154362159539545
10.0,0.1,100.0,-0.005118973638173879
3.0,sqrt,100.0,-0.005134642118075008
3.0,log2,1000.0,-0.005154719472016807
3.0,log2,500.0,-0.005163490503425707
3.0,0.1,500.0,-0.005173219688226249
3.0,log2,100.0,-0.0051835453107355765
3.0,0.1,1000.0,-0.00518904279506506
3.0,0.1,100.0,-0.00522662337211198
