# 1225.611792 sec
max_depth,max_features,n_estimators,mean_test_score
3.0,log2,100.0,-0.005484559904250876
5.0,0.1,1000.0,-0.005510622400285612
3.0,0.5,1000.0,-0.005515226589885656
5.0,0.1,100.0,-0.005515790836719007
10.0,0.1,1000.0,-0.005521232063669081
10.0,0.1,500.0,-0.005522657866473627
5.0,log2,1000.0,-0.005526728647675875
3.0,0.5,500.0,-0.0055272029691486825
5.0,sqrt,1000.0,-0.005531796444096184
3.0,sqrt,1000.0,-0.005532579198657617
3.0,0.1,500.0,-0.005533781870371564
5.0,0.5,1000.0,-0.005534041262863429
5.0,0.5,500.0,-0.005542363138561756
3.0,0.1,1000.0,-0.005545333958515857
10.0,0.5,1000.0,-0.005546943317234391
5.0,sqrt,500.0,-0.005551574723631156
5.0,log2,500.0,-0.005554731411992584
3.0,sqrt,500.0,-0.005554863800652382
10.0,log2,1000.0,-0.005557370731278233
3.0,log2,1000.0,-0.005564508829619208
5.0,0.5,100.0,-0.0055655931716745
10.0,sqrt,1000.0,-0.005567534589714733
3.0,log2,500.0,-0.005568790308876472
10.0,0.5,100.0,-0.005573314234861146
5.0,0.1,500.0,-0.005574969788866388
10.0,0.5,500.0,-0.005575208488135837
10.0,sqrt,500.0,-0.005578934887595833
10.0,0.1,100.0,-0.00558741431177031
3.0,0.1,100.0,-0.0055878906226350085
10.0,log2,500.0,-0.005597439479790102
10.0,sqrt,100.0,-0.005608824021024368
3.0,sqrt,100.0,-0.005614846049052195
5.0,log2,100.0,-0.005634895850698944
3.0,0.5,100.0,-0.005649169156171215
5.0,sqrt,100.0,-0.005685406566888392
10.0,log2,100.0,-0.00571886693612097
