# 1175.526577 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,log2,100.0,-0.00400306060946623
10.0,sqrt,100.0,-0.004039761922072815
10.0,log2,500.0,-0.004042457338457177
10.0,sqrt,1000.0,-0.004049685972390248
10.0,sqrt,500.0,-0.00405104113948675
10.0,0.1,1000.0,-0.004058196463237069
10.0,0.5,500.0,-0.0040590103662531945
10.0,log2,1000.0,-0.00405990989729629
10.0,0.1,500.0,-0.004060208848169817
10.0,0.5,1000.0,-0.004063086464379786
10.0,0.5,100.0,-0.004064805416857677
10.0,0.1,100.0,-0.004118573612458066
5.0,log2,100.0,-0.004158910864000722
5.0,sqrt,1000.0,-0.004163145791536491
5.0,sqrt,100.0,-0.004163682302886428
5.0,0.1,100.0,-0.004164047160244796
5.0,log2,500.0,-0.004164539982598336
5.0,log2,1000.0,-0.00416695426368783
5.0,sqrt,500.0,-0.004175183453368746
5.0,0.1,1000.0,-0.0041880647317631605
5.0,0.1,500.0,-0.004189095020272298
5.0,0.5,100.0,-0.004202662350987294
5.0,0.5,500.0,-0.0042155767525622456
5.0,0.5,1000.0,-0.004217596932271439
3.0,log2,100.0,-0.004236902195991413
3.0,sqrt,100.0,-0.004246132738087544
3.0,sqrt,1000.0,-0.004248970585925988
3.0,sqrt,500.0,-0.004253553168260918
3.0,0.1,100.0,-0.004255850349366313
3.0,log2,500.0,-0.0042559797901777895
3.0,log2,1000.0,-0.004259398459098713
3.0,0.1,1000.0,-0.004262415333535076
3.0,0.1,500.0,-0.004269302375161932
3.0,0.5,100.0,-0.004300754331950872
3.0,0.5,1000.0,-0.004317419237008979
3.0,0.5,500.0,-0.00432237269547857
