# 433.024757 sec
max_depth,max_features,n_estimators,mean_test_score
3.0,log2,500.0,-0.008371147357577484
3.0,log2,1000.0,-0.008393232518145301
3.0,sqrt,100.0,-0.008396103477124772
3.0,sqrt,500.0,-0.008403985962595062
3.0,sqrt,1000.0,-0.008416031272428997
10.0,sqrt,100.0,-0.008454539062251744
3.0,log2,100.0,-0.008469768833842173
5.0,log2,100.0,-0.00849378210668831
3.0,0.5,1000.0,-0.00853620418338759
5.0,sqrt,1000.0,-0.008558191819239683
5.0,sqrt,500.0,-0.008563528220638385
5.0,log2,500.0,-0.008570659189402002
5.0,log2,1000.0,-0.00858446397432184
3.0,0.5,500.0,-0.008588651329193123
10.0,sqrt,1000.0,-0.008594285579570617
10.0,log2,1000.0,-0.00860375620581966
5.0,sqrt,100.0,-0.008628693915734374
10.0,log2,100.0,-0.008633394029333228
3.0,0.5,100.0,-0.008662166533886918
10.0,sqrt,500.0,-0.008675814277110633
10.0,log2,500.0,-0.008714260403642766
5.0,0.5,1000.0,-0.008736804961210425
10.0,0.5,100.0,-0.00875070751990326
5.0,0.1,100.0,-0.008791206744495643
5.0,0.5,500.0,-0.008802793701909284
10.0,0.1,500.0,-0.008834618287253623
5.0,0.1,500.0,-0.00885388649190296
10.0,0.5,500.0,-0.008855071233210889
10.0,0.5,1000.0,-0.008867791914721779
5.0,0.1,1000.0,-0.008882252532695752
10.0,0.1,1000.0,-0.008903315839312417
5.0,0.5,100.0,-0.008933483163859555
10.0,0.1,100.0,-0.009005472389880248
3.0,0.1,1000.0,-0.009057588527602918
3.0,0.1,500.0,-0.009086801836740937
3.0,0.1,100.0,-0.009110879265992
