date,cupID,rep,mass_mg
4/4/17,1,D,0.638
4/4/17,1,E,1.844
4/4/17,1,A,5.862
4/4/17,1,B,8.932
4/4/17,1,C,10.048
4/4/17,2,B,0.358
4/4/17,2,A,2.666
4/4/17,2,C,3.202
4/4/17,3,C,3.316
4/4/17,3,E,4.160
4/4/17,3,A,5.110
4/4/17,3,D,5.966
4/4/17,3,B,6.660
4/4/17,4,C,0.306
5/3/17,4,A,0.402
4/4/17,4,B,1.038
4/4/17,4,A,3.536
4/4/17,4,A,6.854
4/4/17,5,C,2.002
4/4/17,5,A,2.836
4/4/17,5,D,5.462
4/4/17,5,B,6.804
4/4/17,6,C,0.152
4/4/17,6,B,2.766
4/4/17,6,A,6.476
4/4/17,7,D,0.054
4/4/17,7,A,0.618
4/4/17,7,B,0.660
4/4/17,7,C,2.094
4/4/17,7,E,5.228
4/4/17,8,A,5.856
4/4/17,8,D,5.892
4/4/17,8,C,6.906
4/4/17,8,B,7.708
4/4/17,8,E,9.402
4/4/17,9,B,0.600
4/4/17,9,C,2.098
4/4/17,9,A,3.484
4/4/17,10,A,7.302
4/4/17,10,C,8.104
4/4/17,10,E,9.004
4/4/17,10,B,11.666
4/4/17,10,D,22.214
4/4/17,11,E,1.380
4/4/17,11,D,5.470
4/4/17,11,B,7.024
4/4/17,11,A,19.522
4/4/17,11,C,22.102
4/4/17,12,B,2.436
4/4/17,12,A,3.952
4/4/17,12,C,4.900
4/4/17,13,C,0.196
4/4/17,13,B,0.526
4/4/17,13,A,0.690
4/4/17,14,E,3.646
4/4/17,14,B,4.724
4/4/17,14,C,5.888
4/4/17,14,D,6.608
4/4/17,14,A,6.662
4/4/17,15,B,6.392
4/4/17,15,A,17.648
4/4/17,16,C,2.966
4/4/17,16,B,3.200
4/4/17,16,A,3.294
4/4/17,16,D,4.448
4/4/17,16,E,5.530
4/4/17,17,A,1.874
4/4/17,17,B,2.078
4/4/17,17,C,2.348
4/4/17,17,E,4.618
4/4/17,17,D,5.550
4/4/17,18,B,5.566
4/4/17,18,A,7.874
4/4/17,18,C,8.444
4/4/17,18,D,9.026
4/4/17,19,B,0.408
4/4/17,19,A,2.228
4/4/17,19,C,3.322
4/4/17,19,D,4.014
4/4/17,20,D,0.356
4/4/17,20,B,1.842
4/4/17,20,E,3.150
4/4/17,20,C,3.916
4/4/17,20,A,4.678
4/4/17,21,D,1.518
4/4/17,21,A,3.056
4/4/17,21,B,6.228
4/4/17,21,E,7.550
4/4/17,21,C,8.734
4/4/17,22,B,0.782
4/4/17,22,A,1.668
4/4/17,22,E,5.834
4/4/17,22,C,7.664
4/4/17,22,D,12.130
5/3/17,23,B,0.696
5/3/17,23,A,1.788
5/3/17,23,C,2.244
5/3/17,23,D,2.324
5/3/17,23,E,7.1
5/3/17,24,B,6.682
5/3/17,24,C,8.998
5/3/17,24,A,20.136
5/3/17,24,D,27.018
5/3/17,25,A,0.024
5/3/17,25,B,1.084
5/3/17,25,C,2.384
5/3/17,25,D,4.992
5/3/17,25,E,5.804
5/3/17,26,C,0.598
5/3/17,26,A,0.696
5/3/17,26,B,0.802
5/12,27,A,9.418
5/12,27,B,9.646
5/12,27,C,24.864
5/12,28,D,2.482
5/12,28,B,2.884
5/12,28,C,3.136
5/12,28,A,9.24
5/12,29,A,0.226
5/12,29,B,0.728
5/12,29,C,1.434
5/12,30,A,0.238
5/12,30,C,0.89
5/12,30,B,0.952
5/12,31,B,0.372
5/12,31,A,0.842
5/12,31,C,1.324
5/12,32,C,0.478
5/12,32,B,0.546
5/12,32,A,6.572
5/12,33,A,0.048
5/12,33,C,5.028
5/12,33,B,5.688
5/12,34,C,2.794
5/12,34,A,4.128
5/12,34,B,5.838
5/12,34,D,7.288
5/12,35,C,0.734
5/12,35,A,4.948
5/12,35,B,5.940
5/12,36,A,0.256
5/12,36,C,1.094
5/12,36,B,3.182
5/12,37,A,2.612
5/12,37,B,14.584
5/12,37,C,15.932
5/12,38,D,0.704
5/12,38,B,4.320
5/12,38,A,10.006
5/12,38,C,16.908
5/12,39,A,5.054
5/12,39,E,6.650
5/12,39,C,14.760
5/12,39,D,29.864
5/12,39,B,32.184
5/12,40,C,7.516
5/12,40,E,8.428
5/12,40,D,13.660
5/12,40,A,25.068
5/12,40,B,37.766
