cupID,tray,line_pos,pop,line,age,rep,surv_d1,cons_d1,surv_d2,cons_d2,surv_d3,cons_d3,surv_d4,cons_d4,surv_d5,cons_d5,surv_d6,cons_d6,surv_d7,cons_d7,surv_d8,cons_d8,surv_d9,cons_d9
1,1,1,Whitehall,18,mature,1,5,2,5,3,5,1,5,4,5,11,5,3,5,12,5,33,,
2,1,2,MacArthur,5,mature,1,5,1,5,1,4,2,4,1,4,3,3,4,3,2,3,11,,
3,1,3,Gen Butler,3,mature,1,5,3,5,8,5,2,5,10,5,12,5,17,5,16,5,30,,
4,1,4,Center Hill,7,mature,1,5,2,5,4,5,1,5,5,5,2,5,5,5,7,5,16,,
5,1,5,KBS,9,mature,1,4,1,4,4,4,2,4,4,4,6,4,4,4,8,4,22,,
6,1,6,OCM,10,mature,1,5,2,5,6,5,2,5,5,4,8,4,9,3,7,3,12,,
7,1,7,Dalton,4,mature,1,5,1,5,3,5,1,5,2,5,4,5,2,5,9,5,27,,
8,1,8,KBS,2,mature,1,5,2,5,6,5,2,5,7,5,12,5,9,5,21,5,40,,
9,1,9,Center Hill,3,mature,1,5,1,5,4,5,2,4,2,4,6,4,2,3,1,3,7,,
10,1,10,Dalton,8,mature,1,5,2,5,5,5,4,5,7,5,11,4,15,5,23,5,50,,
11,1,11,McPhee,8,mature,1,5,5,5,8,5,3,5,7,5,15,5,40,5,20,5,80,,
12,1,12,OCM,17,mature,1,5,1,5,2,5,2,4,3,4,4,4,4,4,4,3,26,,
13,1,13,With,43,mature,1,5,1,5,1,5,1,5,1,4,1,3,1,3,1,3,1,,
14,1,14,Bella,2,mature,1,5,2,5,1,5,5,5,6,5,6,5,10,5,11,5,27,,
15,1,15,HV,3,mature,1,4,1,4,2,4,2,3,5,3,4,3,10,3,15,2,8,,
16,1,16,Whitehall,16,mature,1,5,3,5,4,5,6,5,6,5,8,5,9,5,10,5,34,,
17,1,17,Bella,3,mature,1,5,3,5,4,5,0,5,5,5,6,5,9,5,16,5,27,,
