pos,pop,line,indiv,mature 1,mature 2,young 1,young 2
1,Gen Butler,2,D,175,210,90,90
2,McPhee,8,F,310,420,105,90
3,Whitehall,16,F,210,310,165,120
4,Dalton,2,F,180,180,90,90
5,Tiri Bulk,12,D,215,165,90,105
6,McPhee,7,D,220,215,90,90
7,Whitehall,16,D,345,350,110,170
8,Caesar,3,E,340,305,120,100
9,OCM,18,F,275,200,110,120
10,Hwy 27 bulk,1,D,365,275,160,180
11,Dalton,9,E,250,210,130,155
12,Tiri Bulk,12,F,330,255,285,225
13,With,42,F,210,410,90,135
14,HV,5,F,265,300,190,140
15,Center Hill,1,D,255,325,200,215
16,HV,5,E,140,225,110,90
18,OCM,17,E,200,195,110,165
19,Gen Butler,7,D,170,220,165,160
20,HV,13,E,175,240,180,125
21,Whitehall,17,E,190,230,110,130
22,Dalton,2,E,220,190,155,140
23,MacArthur,21,F,375,290,125,110
24,Gav,6,E,275,260,170,135
25,Caesar,9,D,230,200,135,120
26,Gen Butler,3,F,260,270,170,180
27,KBS,12,E,210,290,115,120
28,Gav,23,F,220,270,155,150
29,Dalton Bulk,8,E,210,235,120,115
30,TT,25,D,245,290,130,120
31,KBS Bulk,8,D,225,270,125,100
32,Gen Butler,9,F,230,200,180,90
33,McPhee,6,D,220,180,120,90
34,TT Bulk,5,D,250,220,100,100
36,Whitehall Bulk,2,E,255,280,110,115
37,Whitehall,2,F,190,225,90,115
38,Bella,21,D,245,270,155,140
39,OCM,16,E,200,190,115,120
40,Gav Bulk,1,E,200,185,135,100
41,Hwy 27,3,E,220,190,90,90
42,Hwy 27,3,F,350,280,100,115
43,Dalton Bulk,8,F,190,215,95,160
44,TT,5,D,215,185,140,130
45,Center Hill,3,E,220,225,100,140
46,TT,10,D,170,160,160,140
47,Gav,1,D,240,180,140,135
48,Whitehall,2,E,210,175,110,180
49,Tiri,12,D,220,190,200,150
50,Whitehall,17,F,180,190,120,160
51,Dalton,9,F,250,200,110,105
52,With,48,D,260,185,130,105
53,Caesar,5,D,230,220,110,95
54,MacArthur,5,D,270,310,90,150
55,Caesar,10,F,230,175,130,200
56,Center Hill,3,D,200,180,125,120
57,McPhee,7,E,165,310,125,130
58,Center Hill,8,D,210,250,135,110
59,Bella,3,E,310,260,140,120
60,Caesar,5,F,315,215,120,175
62,Hwy 27,3,D,350,295,180,200
63,With,48,F,340,310,150,135
64,Caesar,5,E,200,210,180,90
65,Whitehall Bulk,2,D,190,250,90,140
66,Whitehall,3,F,220,240,100,115
67,Gav Bulk,1,D,250,290,165,110
68,OCM,18,D,175,185,120,125
69,Whitehall,3,E,235,230,125,130
70,Center Hill,2,E,175,225,110,90
71,Valverde,2,E,340,385,110,170
72,Bella,4,E,320,270,110,195
73,Whitehall,18,D,250,210,110,130
