pop,line,indiv,age,percent_N,percent_C,C_N
Bella,2,T,mature,3.737,36.726,9.827669253
Bella,3,Q,mature,2.101,26.230,12.48453118
Bella,4,R,mature,4.324,38.74,8.959990749
Bella,4,S,mature,2.327,35.497,15.25440481
Bella,4,T,mature,4.002,35.986,8.992003998
Bella,13,R,mature,3.682,36.011,9.780282455
Bella,21,T,mature,2.181,31.021,14.22329207
Bella,21,U,mature,4.277,39.120,9.146598083
Bella,21,V,mature,1.256,34.750,27.66719745
Bella,2,S,mature,1.8665,36.3737,19.48765068
Bella,2,U,mature,1.467,36.1351,24.63197001
Bella,2,V,mature,3.6038,37.4539,10.39289084
Bella,3,R,mature,3.2153,39.3108,12.22616863
Bella,3,S,mature,2.6479,32.0412,12.10060803
Bella,3,U,mature,1.8333,34.3495,18.73643157
Bella,13,Q,mature,2.4056,37.0736,15.41137346
Bella,13,S,mature,1.7759,34.43,19.38735289
Bella,13,U,mature,2.0904,33.7442,16.14246077
Bella,2,T,young,3.615,40.414,11.17952974
Bella,3,Q,young,3.727,39.770,10.67078079
Bella,4,R,young,4.815,39.739,8.253167186
Bella,4,S,young,3.328,37.456,11.25480769
Bella,4,T,young,4.862,39.534,8.131221719
Bella,13,R,young,4.058,36.311,8.948003943
Bella,21,T,young,3.952,41.253,10.43851215
Bella,21,U,young,3.346,39.534,11.81530185
Bella,21,V,young,2.976,26.489,8.900873656
Bella,2,S,young,4.5069,46.3536,10.28502962
Bella,2,U,young,2.5357,40.3785,15.92400521
Bella,2,V,young,5.1884,47.961,9.243890217
Bella,3,R,young,4.6086,39.4178,8.553096385
Bella,3,S,young,3.598,39.4984,10.9778766
Bella,3,U,young,3.1249,39.0415,12.4936798
Bella,13,Q,young,4.0981,37.234,9.085673849
Bella,13,S,young,5.2078,52.2956,10.04178348
Bella,13,U,young,3.4807,37.9028,10.8894188
Caesar,5,Q,mature,1.151,40.639,35.30755864
Caesar,5,R,mature,1.429,39.972,27.9720084
Caesar,7,T,mature,6.003,49.77,8.290354823
Caesar,7,U,mature,1.265,35.796,28.2972332
Caesar,7,V,mature,2.459,37.552,15.27124847
Caesar,9,Q,mature,1.029,39.714,38.59475219
Caesar,10,V,mature,2.157,37.918,17.57904497
