"","pop","line","lat","age","biomass","surv","area"
"1","Bella","Bella_13",8.79,"mature",0.292536944106045,4.75,0.179686655138112
"2","Bella","Bella_13",8.79,"young",0.00253563987314754,0.333333333333333,0.0376811318391274
"3","Bella","Bella_2",8.79,"mature",0.167273912162346,3.5,0.163725220399472
"4","Bella","Bella_2",8.79,"young",0,0,0.0756371016478997
"5","Bella","Bella_21",8.79,"mature",0.0698705856265288,3.25,0.135772994175049
"6","Bella","Bella_21",8.79,"young",0,0,0.134377452271547
"7","Bella","Bella_3",8.79,"mature",0.19196844597226,4.75,0.167993532989401
"8","Bella","Bella_3",8.79,"young",0.00191719610377821,0.333333333333333,0.113043395517382
"9","Bella","Bella_4",8.79,"mature",0.197591516184877,4.75,0.165985940816591
"10","Caesar","Caesar_10",39.4887,"mature",0.220336436593697,4.25,0.169504337074371
"11","Caesar","Caesar_10",39.4887,"young",0.147041767888087,2,0.191018362833425
"12","Caesar","Caesar_5",39.4887,"mature",0.280388563211955,4.5,0.179321052823194
"13","Caesar","Caesar_5",39.4887,"young",0.220459284152123,3,0.24203790766192
"14","Caesar","Caesar_7",39.4887,"mature",0.310820822269983,4.5,0.187900936640264
"15","Caesar","Caesar_7",39.4887,"young",0.0989980970305908,2.5,0.215543047049724
"16","Caesar","Caesar_9",39.4887,"mature",0.19285279157277,3.75,0.157430313556631
"17","Caesar","Caesar_9",39.4887,"young",0.109750501022485,2,0.218629407553453
"18","Center Hill","Center Hill_1",36.06935,"mature",0.147546981550568,3.25,0.160937373143769
"19","Center Hill","Center Hill_1",36.06935,"young",0.133449022300493,2.66666666666667,0.219827111572003
"20","Center Hill","Center Hill_2",36.06935,"mature",0.153652595670862,4.5,0.168369789631271
"21","Center Hill","Center Hill_2",36.06935,"young",0.112168490341545,3,0.210820865441931
"22","Center Hill","Center Hill_3",36.06935,"mature",0.217356777745606,4.5,0.172623173705076
"23","Center Hill","Center Hill_3",36.06935,"young",0.070087115937525,2.33333333333333,0.193344961365456
"24","Center Hill","Center Hill_7",36.06935,"mature",0.123311046620184,4,0.156334857810553
"25","Center Hill","Center Hill_7",36.06935,"young",0.0399417972449581,2.33333333333333,0.188139461834656
"26","Center Hill","Center Hill_8",36.06935,"mature",0.1986643937658,4.25,0.174680562143165
"27","Center Hill","Center Hill_8",36.06935,"young",0.104148020319055,2.33333333333333,0.216739956046777
"28","Dalton","Dalton_2",34.670883,"mature",0.225687271228442,4.25,0.171218327358635
